"Mw","exceedance_rate"
6,0.9840300163489
6.1,0.781496272586625
6.2,0.621138467836624
6.3,0.494033542296421
6.4,0.393172858196051
6.5,0.313046414039993
6.6,0.249318324776837
6.7,0.198573350169716
6.8,0.158118768029703
6.9,0.125829388414163
7,0.100026218931201
7.1,0.0793813972912408
7.2,0.0628436423023128
7.3,0.0495797446273861
7.4,0.0389286058212187
7.5,0.0303651019105943
7.6,0.0234716452193507
7.7,0.0179157833362004
7.8,0.0134325365817226
7.9,0.00967766421912412
8,0.00677954695895326
8.1,0.0045795713364597
8.2,0.00301907829815587
8.3,0.001849686155587
8.4,0.00107364077033617
8.5,0.000522196920887429
8.6,0.000182000084918537
8.7,2.2517073603953e-05
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
