"Mw","exceedance_rate"
6,0.142175089243311
6.1,0.112547512854301
6.2,0.0890951184700667
6.3,0.0705108786978038
6.4,0.055768194208805
6.5,0.0440600069286871
6.6,0.0347512705135234
6.7,0.0273418213901258
6.8,0.021437353239581
6.9,0.0167267092596562
7,0.0129641033228535
7.1,0.00995518912142208
7.2,0.00754613556054268
7.3,0.00561505249832961
7.4,0.00402964068525348
7.5,0.00287079002680342
7.6,0.00200759895589415
7.7,0.00139002185271574
7.8,0.000969777249951021
7.9,0.000655524135463904
8,0.00044558284816864
8.1,0.000289756892887414
8.2,0.000189173292802028
8.3,0.000115967599433172
8.4,6.76689809931551e-05
8.5,3.89864152553331e-05
8.6,1.90527828518692e-05
8.7,8.71263671121679e-06
8.8,2.20473702361729e-06
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
