MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,21,112,6.8478e-01,3.1785e+00,3.1767e+00
3.05,12,91,3.9130e-01,2.4937e+00,2.6901e+00
3.15,14,79,4.5652e-01,2.1024e+00,2.2780e+00
3.25,7,65,2.2826e-01,1.6459e+00,1.9289e+00
3.35,9,58,2.9348e-01,1.4177e+00,1.6333e+00
3.45,9,49,2.2131e-01,1.1242e+00,1.3830e+00
3.55,2,40,4.9180e-02,9.0286e-01,1.1710e+00
3.65,9,38,2.2131e-01,8.5368e-01,9.9144e-01
3.75,3,29,7.3770e-02,6.3237e-01,8.3938e-01
3.85,4,26,9.8361e-02,5.5860e-01,7.1059e-01
3.95,3,22,6.5693e-02,4.6024e-01,6.0153e-01
4.05,2,19,4.3796e-02,3.9455e-01,5.0916e-01
4.15,3,17,6.5693e-02,3.5075e-01,4.3093e-01
4.25,0,14,0.0000e+00,2.8506e-01,3.6468e-01
4.35,5,14,1.0949e-01,2.8506e-01,3.0857e-01
4.45,0,9,0.0000e+00,1.7557e-01,2.6106e-01
4.55,0,9,0.0000e+00,1.7557e-01,2.2081e-01
4.65,2,9,4.1096e-02,1.7557e-01,1.8673e-01
4.75,1,7,2.0548e-02,1.3447e-01,1.5787e-01
4.85,0,6,0.0000e+00,1.1392e-01,1.3342e-01
4.95,2,6,3.7975e-02,1.1392e-01,1.1272e-01
5.05,0,4,0.0000e+00,7.5949e-02,9.5188e-02
5.15,1,4,1.8987e-02,7.5949e-02,8.0340e-02
5.25,3,3,5.6962e-02,5.6962e-02,6.7764e-02
5.35,0,0,0.0000e+00,0.0000e+00,5.7114e-02
5.45,0,0,0.0000e+00,0.0000e+00,4.8095e-02
5.55,0,0,0.0000e+00,0.0000e+00,4.0457e-02
5.65,0,0,0.0000e+00,0.0000e+00,3.3987e-02
5.75,0,0,0.0000e+00,0.0000e+00,2.8509e-02
5.85,0,0,0.0000e+00,0.0000e+00,2.3869e-02
5.95,0,0,0.0000e+00,0.0000e+00,1.9939e-02
6.05,0,0,0.0000e+00,0.0000e+00,1.6611e-02
6.15,0,0,0.0000e+00,0.0000e+00,1.3793e-02
6.25,0,0,0.0000e+00,0.0000e+00,1.1406e-02
6.35,0,0,0.0000e+00,0.0000e+00,9.3846e-03
6.45,0,0,0.0000e+00,0.0000e+00,7.6727e-03
6.55,0,0,0.0000e+00,0.0000e+00,6.2228e-03
6.65,0,0,0.0000e+00,0.0000e+00,4.9949e-03
6.75,0,0,0.0000e+00,0.0000e+00,3.9549e-03
6.85,0,0,0.0000e+00,0.0000e+00,3.0742e-03
6.95,0,0,0.0000e+00,0.0000e+00,2.3284e-03
7.05,0,0,0.0000e+00,0.0000e+00,1.6967e-03
7.15,0,0,0.0000e+00,0.0000e+00,1.1617e-03
7.25,0,0,0.0000e+00,0.0000e+00,7.0866e-04
7.35,0,0,0.0000e+00,0.0000e+00,3.2496e-04
7.45,0,0,0.0000e+00,0.0000e+00,-2.7940e-18
