MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,53,344,1.7283e+00,9.4109e+00,9.3988e+00
3.05,30,291,9.7826e-01,7.6827e+00,8.0510e+00
3.15,34,261,1.1087e+00,6.7044e+00,6.8963e+00
3.25,31,227,1.0109e+00,5.5957e+00,5.9069e+00
3.35,17,196,5.5435e-01,4.5848e+00,5.0592e+00
3.45,22,179,5.4098e-01,4.0305e+00,4.3329e+00
3.55,23,157,5.6557e-01,3.4895e+00,3.7106e+00
3.65,18,134,4.4262e-01,2.9239e+00,3.1774e+00
3.75,15,116,3.6885e-01,2.4813e+00,2.7206e+00
3.85,8,101,1.9672e-01,2.1125e+00,2.3292e+00
3.95,17,93,3.7226e-01,1.9157e+00,1.9939e+00
4.05,10,76,2.1898e-01,1.5435e+00,1.7066e+00
4.15,8,66,1.7518e-01,1.3245e+00,1.4604e+00
4.25,7,58,1.5328e-01,1.1493e+00,1.2495e+00
4.35,7,51,1.5328e-01,9.9602e-01,1.0688e+00
4.45,7,44,1.4384e-01,8.4274e-01,9.1401e-01
4.55,6,37,1.2329e-01,6.9890e-01,7.8136e-01
4.65,4,31,8.2192e-02,5.7561e-01,6.6771e-01
4.75,6,27,1.2329e-01,4.9342e-01,5.7033e-01
4.85,2,21,4.1096e-02,3.7013e-01,4.8690e-01
4.95,5,19,9.4937e-02,3.2904e-01,4.1542e-01
5.05,3,14,5.6962e-02,2.3410e-01,3.5418e-01
5.15,2,11,3.7975e-02,1.7714e-01,3.0170e-01
5.25,0,9,0.0000e+00,1.3916e-01,2.5674e-01
5.35,3,9,5.6962e-02,1.3916e-01,2.1822e-01
5.45,2,6,3.7975e-02,8.2202e-02,1.8522e-01
5.55,0,4,0.0000e+00,4.4227e-02,1.5694e-01
5.65,0,4,0.0000e+00,4.4227e-02,1.3272e-01
5.75,0,4,0.0000e+00,4.4227e-02,1.1196e-01
5.85,1,4,1.8987e-02,4.4227e-02,9.4175e-02
5.95,0,3,0.0000e+00,2.5240e-02,7.8937e-02
6.05,1,3,9.9338e-03,2.5240e-02,6.5882e-02
6.15,0,2,0.0000e+00,1.5306e-02,5.4697e-02
6.25,0,2,0.0000e+00,1.5306e-02,4.5113e-02
6.35,0,2,0.0000e+00,1.5306e-02,3.6902e-02
6.45,0,2,0.0000e+00,1.5306e-02,2.9866e-02
6.55,0,2,0.0000e+00,1.5306e-02,2.3839e-02
6.65,1,2,7.6531e-03,1.5306e-02,1.8674e-02
6.75,1,1,7.6531e-03,7.6531e-03,1.4250e-02
6.85,0,0,0.0000e+00,0.0000e+00,1.0458e-02
6.95,0,0,0.0000e+00,0.0000e+00,7.2103e-03
7.05,0,0,0.0000e+00,0.0000e+00,4.4273e-03
7.15,0,0,0.0000e+00,0.0000e+00,2.0429e-03
7.25,0,0,0.0000e+00,0.0000e+00,0.0000e+00
