MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,2,22,6.5217e-02,5.7231e-01,5.4882e-01
3.05,1,20,3.2609e-02,5.0710e-01,5.1102e-01
3.15,2,19,6.5217e-02,4.7449e-01,4.7571e-01
3.25,2,17,6.5217e-02,4.0927e-01,4.4271e-01
3.35,2,15,6.5217e-02,3.4405e-01,4.1188e-01
3.45,1,13,2.4590e-02,2.7884e-01,3.8307e-01
3.55,0,12,0.0000e+00,2.5425e-01,3.5615e-01
3.65,0,12,0.0000e+00,2.5425e-01,3.3099e-01
3.75,1,12,2.4590e-02,2.5425e-01,3.0749e-01
3.85,0,11,0.0000e+00,2.2966e-01,2.8553e-01
3.95,2,11,4.3796e-02,2.2966e-01,2.6501e-01
4.05,2,9,4.3796e-02,1.8586e-01,2.4584e-01
4.15,0,7,0.0000e+00,1.4206e-01,2.2792e-01
4.25,1,7,2.1898e-02,1.4206e-01,2.1119e-01
4.35,0,6,0.0000e+00,1.2017e-01,1.9554e-01
4.45,1,6,2.0548e-02,1.2017e-01,1.8093e-01
4.55,1,5,2.0548e-02,9.9619e-02,1.6728e-01
4.65,1,4,2.0548e-02,7.9071e-02,1.5452e-01
4.75,1,3,2.0548e-02,5.8523e-02,1.4259e-01
4.85,0,2,0.0000e+00,3.7975e-02,1.3145e-01
4.95,0,2,0.0000e+00,3.7975e-02,1.2105e-01
5.05,0,2,0.0000e+00,3.7975e-02,1.1132e-01
5.15,1,2,1.8987e-02,3.7975e-02,1.0223e-01
5.25,0,1,0.0000e+00,1.8987e-02,9.3742e-02
5.35,0,1,0.0000e+00,1.8987e-02,8.5808e-02
5.45,1,1,1.8987e-02,1.8987e-02,7.8395e-02
5.55,0,0,0.0000e+00,0.0000e+00,7.1469e-02
5.65,0,0,0.0000e+00,0.0000e+00,6.4996e-02
5.75,0,0,0.0000e+00,0.0000e+00,5.8949e-02
5.85,0,0,0.0000e+00,0.0000e+00,5.3298e-02
5.95,0,0,0.0000e+00,0.0000e+00,4.8018e-02
6.05,0,0,0.0000e+00,0.0000e+00,4.3085e-02
6.15,0,0,0.0000e+00,0.0000e+00,3.8476e-02
6.25,0,0,0.0000e+00,0.0000e+00,3.4168e-02
6.35,0,0,0.0000e+00,0.0000e+00,3.0144e-02
6.45,0,0,0.0000e+00,0.0000e+00,2.6383e-02
6.55,0,0,0.0000e+00,0.0000e+00,2.2870e-02
6.65,0,0,0.0000e+00,0.0000e+00,1.9587e-02
6.75,0,0,0.0000e+00,0.0000e+00,1.6519e-02
6.85,0,0,0.0000e+00,0.0000e+00,1.3653e-02
6.95,0,0,0.0000e+00,0.0000e+00,1.0975e-02
7.05,0,0,0.0000e+00,0.0000e+00,8.4721e-03
7.15,0,0,0.0000e+00,0.0000e+00,6.1338e-03
7.25,0,0,0.0000e+00,0.0000e+00,3.9490e-03
7.35,0,0,0.0000e+00,0.0000e+00,1.9075e-03
7.45,0,0,0.0000e+00,0.0000e+00,-1.8093e-17
