MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,18,114,5.8696e-01,3.0837e+00,3.0813e+00
3.05,10,96,3.2609e-01,2.4967e+00,2.6076e+00
3.15,15,86,4.8913e-01,2.1706e+00,2.2066e+00
3.25,3,71,9.7826e-02,1.6815e+00,1.8672e+00
3.35,7,68,2.2826e-01,1.5837e+00,1.5800e+00
3.45,9,61,2.2131e-01,1.3554e+00,1.3369e+00
3.55,10,52,2.4590e-01,1.1341e+00,1.1312e+00
3.65,5,42,1.2295e-01,8.8818e-01,9.5702e-01
3.75,4,37,9.8361e-02,7.6523e-01,8.0963e-01
3.85,4,33,9.8361e-02,6.6687e-01,6.8488e-01
3.95,3,29,6.5693e-02,5.6851e-01,5.7930e-01
4.05,1,26,2.1898e-02,5.0282e-01,4.8994e-01
4.15,4,25,8.7591e-02,4.8092e-01,4.1430e-01
4.25,3,21,6.5693e-02,3.9333e-01,3.5029e-01
4.35,2,18,4.3796e-02,3.2764e-01,2.9611e-01
4.45,4,16,8.2192e-02,2.8384e-01,2.5026e-01
4.55,1,12,2.0548e-02,2.0165e-01,2.1145e-01
4.65,0,11,0.0000e+00,1.8110e-01,1.7860e-01
4.75,2,11,4.1096e-02,1.8110e-01,1.5080e-01
4.85,2,9,4.1096e-02,1.4000e-01,1.2727e-01
4.95,0,7,0.0000e+00,9.8909e-02,1.0735e-01
5.05,1,7,1.8987e-02,9.8909e-02,9.0495e-02
5.15,1,6,1.8987e-02,7.9921e-02,7.6229e-02
5.25,1,5,1.8987e-02,6.0934e-02,6.4154e-02
5.35,0,4,0.0000e+00,4.1947e-02,5.3935e-02
5.45,0,4,0.0000e+00,4.1947e-02,4.5285e-02
5.55,0,4,0.0000e+00,4.1947e-02,3.7964e-02
5.65,0,4,0.0000e+00,4.1947e-02,3.1768e-02
5.75,1,4,1.8987e-02,4.1947e-02,2.6524e-02
5.85,0,3,0.0000e+00,2.2959e-02,2.2086e-02
5.95,0,3,0.0000e+00,2.2959e-02,1.8329e-02
6.05,0,3,0.0000e+00,2.2959e-02,1.5149e-02
6.15,0,3,0.0000e+00,2.2959e-02,1.2458e-02
6.25,0,3,0.0000e+00,2.2959e-02,1.0181e-02
6.35,1,3,7.6531e-03,2.2959e-02,8.2532e-03
6.45,0,2,0.0000e+00,1.5306e-02,6.6216e-03
6.55,1,2,7.6531e-03,1.5306e-02,5.2407e-03
6.65,0,1,0.0000e+00,7.6531e-03,4.0720e-03
6.75,1,1,7.6531e-03,7.6531e-03,3.0828e-03
6.85,0,0,0.0000e+00,0.0000e+00,2.2456e-03
6.95,0,0,0.0000e+00,0.0000e+00,1.5370e-03
7.05,0,0,0.0000e+00,0.0000e+00,9.3722e-04
7.15,0,0,0.0000e+00,0.0000e+00,4.2962e-04
7.25,0,0,0.0000e+00,0.0000e+00,0.0000e+00
