MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,14,124,4.5652e-01,3.6843e+00,3.6840e+00
3.05,23,110,7.5000e-01,3.2278e+00,2.9930e+00
3.15,22,87,7.1739e-01,2.4778e+00,2.4316e+00
3.25,7,65,2.2826e-01,1.7604e+00,1.9755e+00
3.35,19,58,6.1957e-01,1.5321e+00,1.6049e+00
3.45,4,39,9.8361e-02,9.1258e-01,1.3038e+00
3.55,4,35,9.8361e-02,8.1422e-01,1.0592e+00
3.65,12,31,2.9508e-01,7.1586e-01,8.6052e-01
3.75,3,19,7.3770e-02,4.2078e-01,6.9906e-01
3.85,3,16,7.3770e-02,3.4701e-01,5.6789e-01
3.95,0,13,0.0000e+00,2.7324e-01,4.6132e-01
4.05,4,13,8.7591e-02,2.7324e-01,3.7474e-01
4.15,0,9,0.0000e+00,1.8565e-01,3.0439e-01
4.25,2,9,4.3796e-02,1.8565e-01,2.4724e-01
4.35,2,7,4.3796e-02,1.4185e-01,2.0081e-01
4.45,0,5,0.0000e+00,9.8058e-02,1.6309e-01
4.55,0,5,0.0000e+00,9.8058e-02,1.3244e-01
4.65,2,5,4.1096e-02,9.8058e-02,1.0754e-01
4.75,0,3,0.0000e+00,5.6962e-02,8.7311e-02
4.85,0,3,0.0000e+00,5.6962e-02,7.0875e-02
4.95,3,3,5.6962e-02,5.6962e-02,5.7522e-02
5.05,0,0,0.0000e+00,0.0000e+00,4.6673e-02
5.15,0,0,0.0000e+00,0.0000e+00,3.7859e-02
5.25,0,0,0.0000e+00,0.0000e+00,3.0698e-02
5.35,0,0,0.0000e+00,0.0000e+00,2.4880e-02
5.45,0,0,0.0000e+00,0.0000e+00,2.0154e-02
5.55,0,0,0.0000e+00,0.0000e+00,1.6314e-02
5.65,0,0,0.0000e+00,0.0000e+00,1.3194e-02
5.75,0,0,0.0000e+00,0.0000e+00,1.0659e-02
5.85,0,0,0.0000e+00,0.0000e+00,8.5994e-03
5.95,0,0,0.0000e+00,0.0000e+00,6.9263e-03
6.05,0,0,0.0000e+00,0.0000e+00,5.5669e-03
6.15,0,0,0.0000e+00,0.0000e+00,4.4625e-03
6.25,0,0,0.0000e+00,0.0000e+00,3.5653e-03
6.35,0,0,0.0000e+00,0.0000e+00,2.8363e-03
6.45,0,0,0.0000e+00,0.0000e+00,2.2441e-03
6.55,0,0,0.0000e+00,0.0000e+00,1.7629e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.3720e-03
6.75,0,0,0.0000e+00,0.0000e+00,1.0544e-03
6.85,0,0,0.0000e+00,0.0000e+00,7.9632e-04
6.95,0,0,0.0000e+00,0.0000e+00,5.8668e-04
7.05,0,0,0.0000e+00,0.0000e+00,4.1635e-04
7.15,0,0,0.0000e+00,0.0000e+00,2.7797e-04
7.25,0,0,0.0000e+00,0.0000e+00,1.6555e-04
7.35,0,0,0.0000e+00,0.0000e+00,7.4208e-05
7.45,0,0,0.0000e+00,0.0000e+00,-5.7102e-19
