MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,2,17,9.6774e-02,7.7525e-01,3.3687e-01
3.05,8,15,3.8710e-01,6.7847e-01,2.5506e-01
3.15,3,7,1.4516e-01,2.9137e-01,1.9311e-01
3.25,1,4,4.8387e-02,1.4621e-01,1.4621e-01
3.35,0,3,0.0000e+00,9.7826e-02,1.1070e-01
3.45,1,3,3.2609e-02,9.7826e-02,8.3816e-02
3.55,0,2,0.0000e+00,6.5217e-02,6.3460e-02
3.65,1,2,3.2609e-02,6.5217e-02,4.8048e-02
3.75,1,1,3.2609e-02,3.2609e-02,3.6379e-02
3.85,0,0,0.0000e+00,0.0000e+00,2.7543e-02
3.95,0,0,0.0000e+00,0.0000e+00,2.0854e-02
4.05,0,0,0.0000e+00,0.0000e+00,1.5789e-02
4.15,0,0,0.0000e+00,0.0000e+00,1.1954e-02
4.25,0,0,0.0000e+00,0.0000e+00,9.0505e-03
4.35,0,0,0.0000e+00,0.0000e+00,6.8522e-03
4.45,0,0,0.0000e+00,0.0000e+00,5.1877e-03
4.55,0,0,0.0000e+00,0.0000e+00,3.9275e-03
4.65,0,0,0.0000e+00,0.0000e+00,2.9734e-03
4.75,0,0,0.0000e+00,0.0000e+00,2.2510e-03
4.85,0,0,0.0000e+00,0.0000e+00,1.7040e-03
4.95,0,0,0.0000e+00,0.0000e+00,1.2899e-03
5.05,0,0,0.0000e+00,0.0000e+00,9.7630e-04
5.15,0,0,0.0000e+00,0.0000e+00,7.3889e-04
5.25,0,0,0.0000e+00,0.0000e+00,5.5914e-04
5.35,0,0,0.0000e+00,0.0000e+00,4.2305e-04
5.45,0,0,0.0000e+00,0.0000e+00,3.2001e-04
5.55,0,0,0.0000e+00,0.0000e+00,2.4199e-04
5.65,0,0,0.0000e+00,0.0000e+00,1.8292e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.3820e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.0434e-04
5.95,0,0,0.0000e+00,0.0000e+00,7.8697e-05
6.05,0,0,0.0000e+00,0.0000e+00,5.9286e-05
6.15,0,0,0.0000e+00,0.0000e+00,4.4588e-05
6.25,0,0,0.0000e+00,0.0000e+00,3.3460e-05
6.35,0,0,0.0000e+00,0.0000e+00,2.5035e-05
6.45,0,0,0.0000e+00,0.0000e+00,1.8656e-05
6.55,0,0,0.0000e+00,0.0000e+00,1.3826e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.0169e-05
6.75,0,0,0.0000e+00,0.0000e+00,7.4005e-06
6.85,0,0,0.0000e+00,0.0000e+00,5.3042e-06
6.95,0,0,0.0000e+00,0.0000e+00,3.7170e-06
7.05,0,0,0.0000e+00,0.0000e+00,2.5153e-06
7.15,0,0,0.0000e+00,0.0000e+00,1.6054e-06
7.25,0,0,0.0000e+00,0.0000e+00,9.1651e-07
7.35,0,0,0.0000e+00,0.0000e+00,3.9492e-07
7.45,0,0,0.0000e+00,0.0000e+00,-3.0071e-21
