MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.45,5,19,1.9481e-01,6.5494e-01,4.3510e-01
3.55,2,14,7.7922e-02,4.6014e-01,3.6361e-01
3.65,2,12,7.7922e-02,3.8222e-01,3.0385e-01
3.75,2,10,7.7922e-02,3.0429e-01,2.5391e-01
3.85,2,8,7.7922e-02,2.2637e-01,2.1217e-01
3.95,0,6,0.0000e+00,1.4845e-01,1.7728e-01
4.05,1,6,3.8961e-02,1.4845e-01,1.4812e-01
4.15,1,5,2.1898e-02,1.0949e-01,1.2374e-01
4.25,0,4,0.0000e+00,8.7591e-02,1.0337e-01
4.35,2,4,4.3796e-02,8.7591e-02,8.6345e-02
4.45,0,2,0.0000e+00,4.3796e-02,7.2113e-02
4.55,1,2,2.1898e-02,4.3796e-02,6.0219e-02
4.65,1,1,2.1898e-02,2.1898e-02,5.0277e-02
4.75,0,0,0.0000e+00,0.0000e+00,4.1967e-02
4.85,0,0,0.0000e+00,0.0000e+00,3.5022e-02
4.95,0,0,0.0000e+00,0.0000e+00,2.9217e-02
5.05,0,0,0.0000e+00,0.0000e+00,2.4365e-02
5.15,0,0,0.0000e+00,0.0000e+00,2.0310e-02
5.25,0,0,0.0000e+00,0.0000e+00,1.6921e-02
5.35,0,0,0.0000e+00,0.0000e+00,1.4088e-02
5.45,0,0,0.0000e+00,0.0000e+00,1.1720e-02
5.55,0,0,0.0000e+00,0.0000e+00,9.7409e-03
5.65,0,0,0.0000e+00,0.0000e+00,8.0868e-03
5.75,0,0,0.0000e+00,0.0000e+00,6.7043e-03
5.85,0,0,0.0000e+00,0.0000e+00,5.5488e-03
5.95,0,0,0.0000e+00,0.0000e+00,4.5830e-03
6.05,0,0,0.0000e+00,0.0000e+00,3.7757e-03
6.15,0,0,0.0000e+00,0.0000e+00,3.1010e-03
6.25,0,0,0.0000e+00,0.0000e+00,2.5371e-03
6.35,0,0,0.0000e+00,0.0000e+00,2.0658e-03
6.45,0,0,0.0000e+00,0.0000e+00,1.6718e-03
6.55,0,0,0.0000e+00,0.0000e+00,1.3425e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.0673e-03
6.75,0,0,0.0000e+00,0.0000e+00,8.3730e-04
6.85,0,0,0.0000e+00,0.0000e+00,6.4505e-04
6.95,0,0,0.0000e+00,0.0000e+00,4.8435e-04
7.05,0,0,0.0000e+00,0.0000e+00,3.5005e-04
7.15,0,0,0.0000e+00,0.0000e+00,2.3779e-04
7.25,0,0,0.0000e+00,0.0000e+00,1.4397e-04
7.35,0,0,0.0000e+00,0.0000e+00,6.5545e-05
7.45,0,0,0.0000e+00,0.0000e+00,-5.1862e-19
