MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,16,42,7.7419e-01,1.9055e+00,6.5700e-01
3.05,11,26,5.3226e-01,1.1313e+00,4.9747e-01
3.15,4,15,1.9355e-01,5.9900e-01,3.7668e-01
3.25,5,11,2.4194e-01,4.0546e-01,2.8521e-01
3.35,0,6,0.0000e+00,1.6352e-01,2.1596e-01
3.45,2,6,6.5217e-02,1.6352e-01,1.6352e-01
3.55,1,4,3.2609e-02,9.8302e-02,1.2381e-01
3.65,0,3,0.0000e+00,6.5693e-02,9.3747e-02
3.75,0,3,0.0000e+00,6.5693e-02,7.0983e-02
3.85,0,3,0.0000e+00,6.5693e-02,5.3746e-02
3.95,0,3,0.0000e+00,6.5693e-02,4.0695e-02
4.05,0,3,0.0000e+00,6.5693e-02,3.0813e-02
4.15,0,3,0.0000e+00,6.5693e-02,2.3331e-02
4.25,1,3,2.1898e-02,6.5693e-02,1.7665e-02
4.35,0,2,0.0000e+00,4.3796e-02,1.3375e-02
4.45,0,2,0.0000e+00,4.3796e-02,1.0127e-02
4.55,0,2,0.0000e+00,4.3796e-02,7.6671e-03
4.65,1,2,2.1898e-02,4.3796e-02,5.8048e-03
4.75,0,1,0.0000e+00,2.1898e-02,4.3947e-03
4.85,0,1,0.0000e+00,2.1898e-02,3.3270e-03
4.95,0,1,0.0000e+00,2.1898e-02,2.5186e-03
5.05,0,1,0.0000e+00,2.1898e-02,1.9064e-03
5.15,0,1,0.0000e+00,2.1898e-02,1.4429e-03
5.25,0,1,0.0000e+00,2.1898e-02,1.0920e-03
5.35,1,1,2.1898e-02,2.1898e-02,8.2624e-04
5.45,0,0,0.0000e+00,0.0000e+00,6.2503e-04
5.55,0,0,0.0000e+00,0.0000e+00,4.7268e-04
5.65,0,0,0.0000e+00,0.0000e+00,3.5732e-04
5.75,0,0,0.0000e+00,0.0000e+00,2.6997e-04
5.85,0,0,0.0000e+00,0.0000e+00,2.0383e-04
5.95,0,0,0.0000e+00,0.0000e+00,1.5375e-04
6.05,0,0,0.0000e+00,0.0000e+00,1.1583e-04
6.15,0,0,0.0000e+00,0.0000e+00,8.7123e-05
6.25,0,0,0.0000e+00,0.0000e+00,6.5383e-05
6.35,0,0,0.0000e+00,0.0000e+00,4.8922e-05
6.45,0,0,0.0000e+00,0.0000e+00,3.6458e-05
6.55,0,0,0.0000e+00,0.0000e+00,2.7021e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.9875e-05
6.75,0,0,0.0000e+00,0.0000e+00,1.4465e-05
6.85,0,0,0.0000e+00,0.0000e+00,1.0368e-05
6.95,0,0,0.0000e+00,0.0000e+00,7.2657e-06
7.05,0,0,0.0000e+00,0.0000e+00,4.9168e-06
7.15,0,0,0.0000e+00,0.0000e+00,3.1384e-06
7.25,0,0,0.0000e+00,0.0000e+00,1.7917e-06
7.35,0,0,0.0000e+00,0.0000e+00,7.7206e-07
7.45,0,0,0.0000e+00,0.0000e+00,-5.8803e-21
