MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,0,5,0.0000e+00,1.9967e-01,2.6370e-01
3.05,1,5,4.8387e-02,1.9967e-01,1.9967e-01
3.15,1,4,4.8387e-02,1.5128e-01,1.5118e-01
3.25,0,3,0.0000e+00,1.0289e-01,1.1447e-01
3.35,1,3,4.8387e-02,1.0289e-01,8.6677e-02
3.45,0,2,0.0000e+00,5.4507e-02,6.5630e-02
3.55,0,2,0.0000e+00,5.4507e-02,4.9693e-02
3.65,1,2,3.2609e-02,5.4507e-02,3.7627e-02
3.75,0,1,0.0000e+00,2.1898e-02,2.8490e-02
3.85,0,1,0.0000e+00,2.1898e-02,2.1572e-02
3.95,1,1,2.1898e-02,2.1898e-02,1.6334e-02
4.05,0,0,0.0000e+00,0.0000e+00,1.2367e-02
4.15,0,0,0.0000e+00,0.0000e+00,9.3640e-03
4.25,0,0,0.0000e+00,0.0000e+00,7.0900e-03
4.35,0,0,0.0000e+00,0.0000e+00,5.3682e-03
4.45,0,0,0.0000e+00,0.0000e+00,4.0645e-03
4.55,0,0,0.0000e+00,0.0000e+00,3.0773e-03
4.65,0,0,0.0000e+00,0.0000e+00,2.3298e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.7639e-03
4.85,0,0,0.0000e+00,0.0000e+00,1.3353e-03
4.95,0,0,0.0000e+00,0.0000e+00,1.0109e-03
5.05,0,0,0.0000e+00,0.0000e+00,7.6517e-04
5.15,0,0,0.0000e+00,0.0000e+00,5.7914e-04
5.25,0,0,0.0000e+00,0.0000e+00,4.3828e-04
5.35,0,0,0.0000e+00,0.0000e+00,3.3162e-04
5.45,0,0,0.0000e+00,0.0000e+00,2.5086e-04
5.55,0,0,0.0000e+00,0.0000e+00,1.8971e-04
5.65,0,0,0.0000e+00,0.0000e+00,1.4341e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.0836e-04
5.85,0,0,0.0000e+00,0.0000e+00,8.1810e-05
5.95,0,0,0.0000e+00,0.0000e+00,6.1711e-05
6.05,0,0,0.0000e+00,0.0000e+00,4.6492e-05
6.15,0,0,0.0000e+00,0.0000e+00,3.4968e-05
6.25,0,0,0.0000e+00,0.0000e+00,2.6242e-05
6.35,0,0,0.0000e+00,0.0000e+00,1.9636e-05
6.45,0,0,0.0000e+00,0.0000e+00,1.4633e-05
6.55,0,0,0.0000e+00,0.0000e+00,1.0845e-05
6.65,0,0,0.0000e+00,0.0000e+00,7.9772e-06
6.75,0,0,0.0000e+00,0.0000e+00,5.8056e-06
6.85,0,0,0.0000e+00,0.0000e+00,4.1612e-06
6.95,0,0,0.0000e+00,0.0000e+00,2.9162e-06
7.05,0,0,0.0000e+00,0.0000e+00,1.9734e-06
7.15,0,0,0.0000e+00,0.0000e+00,1.2596e-06
7.25,0,0,0.0000e+00,0.0000e+00,7.1913e-07
7.35,0,0,0.0000e+00,0.0000e+00,3.0988e-07
7.45,0,0,0.0000e+00,0.0000e+00,-2.3602e-21
