MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,0,43,0.0000e+00,2.7135e+00,1.9907e+00
3.05,4,43,3.7500e-01,2.7135e+00,1.6425e+00
3.15,3,39,2.8125e-01,2.3385e+00,1.3552e+00
3.25,4,36,3.7500e-01,2.0572e+00,1.1181e+00
3.35,4,32,3.7500e-01,1.6822e+00,9.2247e-01
3.45,8,28,3.8710e-01,1.3072e+00,7.6108e-01
3.55,4,20,1.9355e-01,9.2015e-01,6.2792e-01
3.65,6,16,2.9032e-01,7.2660e-01,5.1804e-01
3.75,0,10,0.0000e+00,4.3628e-01,4.2739e-01
3.85,3,10,1.4516e-01,4.3628e-01,3.5259e-01
3.95,1,7,4.8387e-02,2.9112e-01,2.9088e-01
4.05,2,6,9.6774e-02,2.4273e-01,2.3996e-01
4.15,1,4,4.8387e-02,1.4595e-01,1.9795e-01
4.25,0,3,0.0000e+00,9.7567e-02,1.6328e-01
4.35,1,3,4.8387e-02,9.7567e-02,1.3468e-01
4.45,0,2,0.0000e+00,4.9180e-02,1.1108e-01
4.55,0,2,0.0000e+00,4.9180e-02,9.1610e-02
4.65,0,2,0.0000e+00,4.9180e-02,7.5545e-02
4.75,0,2,0.0000e+00,4.9180e-02,6.2290e-02
4.85,0,2,0.0000e+00,4.9180e-02,5.1353e-02
4.95,1,2,2.4590e-02,4.9180e-02,4.2329e-02
5.05,1,1,2.4590e-02,2.4590e-02,3.4884e-02
5.15,0,0,0.0000e+00,0.0000e+00,2.8741e-02
5.25,0,0,0.0000e+00,0.0000e+00,2.3672e-02
5.35,0,0,0.0000e+00,0.0000e+00,1.9490e-02
5.45,0,0,0.0000e+00,0.0000e+00,1.6040e-02
5.55,0,0,0.0000e+00,0.0000e+00,1.3193e-02
5.65,0,0,0.0000e+00,0.0000e+00,1.0844e-02
5.75,0,0,0.0000e+00,0.0000e+00,8.9056e-03
5.85,0,0,0.0000e+00,0.0000e+00,7.3065e-03
5.95,0,0,0.0000e+00,0.0000e+00,5.9870e-03
6.05,0,0,0.0000e+00,0.0000e+00,4.8984e-03
6.15,0,0,0.0000e+00,0.0000e+00,4.0002e-03
6.25,0,0,0.0000e+00,0.0000e+00,3.2591e-03
6.35,0,0,0.0000e+00,0.0000e+00,2.6476e-03
6.45,0,0,0.0000e+00,0.0000e+00,2.1430e-03
6.55,0,0,0.0000e+00,0.0000e+00,1.7268e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.3833e-03
6.75,0,0,0.0000e+00,0.0000e+00,1.0999e-03
6.85,0,0,0.0000e+00,0.0000e+00,8.6608e-04
6.95,0,0,0.0000e+00,0.0000e+00,6.7315e-04
7.05,0,0,0.0000e+00,0.0000e+00,5.1397e-04
7.15,0,0,0.0000e+00,0.0000e+00,3.8263e-04
7.25,0,0,0.0000e+00,0.0000e+00,2.7427e-04
7.35,0,0,0.0000e+00,0.0000e+00,1.8486e-04
7.45,0,0,0.0000e+00,0.0000e+00,1.1109e-04
7.55,0,0,0.0000e+00,0.0000e+00,5.0221e-05
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00
