MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,4,4.8387e-02,1.6706e-01,1.6706e-01
3.05,0,3,0.0000e+00,1.1867e-01,1.2649e-01
3.15,1,3,4.8387e-02,1.1867e-01,9.5767e-02
3.25,1,2,4.8387e-02,7.0285e-02,7.2509e-02
3.35,0,1,0.0000e+00,2.1898e-02,5.4899e-02
3.45,0,1,0.0000e+00,2.1898e-02,4.1566e-02
3.55,0,1,0.0000e+00,2.1898e-02,3.1471e-02
3.65,0,1,0.0000e+00,2.1898e-02,2.3828e-02
3.75,0,1,0.0000e+00,2.1898e-02,1.8041e-02
3.85,0,1,0.0000e+00,2.1898e-02,1.3659e-02
3.95,0,1,0.0000e+00,2.1898e-02,1.0342e-02
4.05,0,1,0.0000e+00,2.1898e-02,7.8299e-03
4.15,0,1,0.0000e+00,2.1898e-02,5.9282e-03
4.25,1,1,2.1898e-02,2.1898e-02,4.4883e-03
4.35,0,0,0.0000e+00,0.0000e+00,3.3981e-03
4.45,0,0,0.0000e+00,0.0000e+00,2.5727e-03
4.55,0,0,0.0000e+00,0.0000e+00,1.9477e-03
4.65,0,0,0.0000e+00,0.0000e+00,1.4745e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.1163e-03
4.85,0,0,0.0000e+00,0.0000e+00,8.4503e-04
4.95,0,0,0.0000e+00,0.0000e+00,6.3966e-04
5.05,0,0,0.0000e+00,0.0000e+00,4.8416e-04
5.15,0,0,0.0000e+00,0.0000e+00,3.6643e-04
5.25,0,0,0.0000e+00,0.0000e+00,2.7729e-04
5.35,0,0,0.0000e+00,0.0000e+00,2.0980e-04
5.45,0,0,0.0000e+00,0.0000e+00,1.5870e-04
5.55,0,0,0.0000e+00,0.0000e+00,1.2001e-04
5.65,0,0,0.0000e+00,0.0000e+00,9.0713e-05
5.75,0,0,0.0000e+00,0.0000e+00,6.8534e-05
5.85,0,0,0.0000e+00,0.0000e+00,5.1741e-05
5.95,0,0,0.0000e+00,0.0000e+00,3.9027e-05
6.05,0,0,0.0000e+00,0.0000e+00,2.9401e-05
6.15,0,0,0.0000e+00,0.0000e+00,2.2112e-05
6.25,0,0,0.0000e+00,0.0000e+00,1.6594e-05
6.35,0,0,0.0000e+00,0.0000e+00,1.2415e-05
6.45,0,0,0.0000e+00,0.0000e+00,9.2518e-06
6.55,0,0,0.0000e+00,0.0000e+00,6.8566e-06
6.65,0,0,0.0000e+00,0.0000e+00,5.0431e-06
6.75,0,0,0.0000e+00,0.0000e+00,3.6700e-06
6.85,0,0,0.0000e+00,0.0000e+00,2.6304e-06
6.95,0,0,0.0000e+00,0.0000e+00,1.8433e-06
7.05,0,0,0.0000e+00,0.0000e+00,1.2474e-06
7.15,0,0,0.0000e+00,0.0000e+00,7.9615e-07
7.25,0,0,0.0000e+00,0.0000e+00,4.5451e-07
7.35,0,0,0.0000e+00,0.0000e+00,1.9585e-07
7.45,0,0,0.0000e+00,0.0000e+00,-1.4913e-21
