MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,4,9.3750e-02,3.7500e-01,3.7496e-01
3.05,2,3,1.8750e-01,2.8125e-01,3.0936e-01
3.15,1,1,9.3750e-02,9.3750e-02,2.5524e-01
3.25,0,0,0.0000e+00,0.0000e+00,2.1059e-01
3.35,0,0,0.0000e+00,0.0000e+00,1.7375e-01
3.45,0,0,0.0000e+00,0.0000e+00,1.4335e-01
3.55,0,0,0.0000e+00,0.0000e+00,1.1827e-01
3.65,0,0,0.0000e+00,0.0000e+00,9.7574e-02
3.75,0,0,0.0000e+00,0.0000e+00,8.0499e-02
3.85,0,0,0.0000e+00,0.0000e+00,6.6411e-02
3.95,0,0,0.0000e+00,0.0000e+00,5.4787e-02
4.05,0,0,0.0000e+00,0.0000e+00,4.5196e-02
4.15,0,0,0.0000e+00,0.0000e+00,3.7283e-02
4.25,0,0,0.0000e+00,0.0000e+00,3.0754e-02
4.35,0,0,0.0000e+00,0.0000e+00,2.5367e-02
4.45,0,0,0.0000e+00,0.0000e+00,2.0922e-02
4.55,0,0,0.0000e+00,0.0000e+00,1.7255e-02
4.65,0,0,0.0000e+00,0.0000e+00,1.4229e-02
4.75,0,0,0.0000e+00,0.0000e+00,1.1732e-02
4.85,0,0,0.0000e+00,0.0000e+00,9.6724e-03
4.95,0,0,0.0000e+00,0.0000e+00,7.9727e-03
5.05,0,0,0.0000e+00,0.0000e+00,6.5704e-03
5.15,0,0,0.0000e+00,0.0000e+00,5.4134e-03
5.25,0,0,0.0000e+00,0.0000e+00,4.4587e-03
5.35,0,0,0.0000e+00,0.0000e+00,3.6710e-03
5.45,0,0,0.0000e+00,0.0000e+00,3.0211e-03
5.55,0,0,0.0000e+00,0.0000e+00,2.4849e-03
5.65,0,0,0.0000e+00,0.0000e+00,2.0424e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.6774e-03
5.85,0,0,0.0000e+00,0.0000e+00,1.3762e-03
5.95,0,0,0.0000e+00,0.0000e+00,1.1277e-03
6.05,0,0,0.0000e+00,0.0000e+00,9.2261e-04
6.15,0,0,0.0000e+00,0.0000e+00,7.5343e-04
6.25,0,0,0.0000e+00,0.0000e+00,6.1384e-04
6.35,0,0,0.0000e+00,0.0000e+00,4.9867e-04
6.45,0,0,0.0000e+00,0.0000e+00,4.0364e-04
6.55,0,0,0.0000e+00,0.0000e+00,3.2523e-04
6.65,0,0,0.0000e+00,0.0000e+00,2.6054e-04
6.75,0,0,0.0000e+00,0.0000e+00,2.0717e-04
6.85,0,0,0.0000e+00,0.0000e+00,1.6313e-04
6.95,0,0,0.0000e+00,0.0000e+00,1.2679e-04
7.05,0,0,0.0000e+00,0.0000e+00,9.6807e-05
7.15,0,0,0.0000e+00,0.0000e+00,7.2069e-05
7.25,0,0,0.0000e+00,0.0000e+00,5.1659e-05
7.35,0,0,0.0000e+00,0.0000e+00,3.4818e-05
7.45,0,0,0.0000e+00,0.0000e+00,2.0924e-05
7.55,0,0,0.0000e+00,0.0000e+00,9.4592e-06
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00
