MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,1,4.8387e-02,4.8387e-02,4.8387e-02
3.05,0,0,0.0000e+00,0.0000e+00,3.6638e-02
3.15,0,0,0.0000e+00,0.0000e+00,2.7741e-02
3.25,0,0,0.0000e+00,0.0000e+00,2.1005e-02
3.35,0,0,0.0000e+00,0.0000e+00,1.5905e-02
3.45,0,0,0.0000e+00,0.0000e+00,1.2043e-02
3.55,0,0,0.0000e+00,0.0000e+00,9.1185e-03
3.65,0,0,0.0000e+00,0.0000e+00,6.9043e-03
3.75,0,0,0.0000e+00,0.0000e+00,5.2278e-03
3.85,0,0,0.0000e+00,0.0000e+00,3.9583e-03
3.95,0,0,0.0000e+00,0.0000e+00,2.9971e-03
4.05,0,0,0.0000e+00,0.0000e+00,2.2693e-03
4.15,0,0,0.0000e+00,0.0000e+00,1.7182e-03
4.25,0,0,0.0000e+00,0.0000e+00,1.3010e-03
4.35,0,0,0.0000e+00,0.0000e+00,9.8503e-04
4.45,0,0,0.0000e+00,0.0000e+00,7.4581e-04
4.55,0,0,0.0000e+00,0.0000e+00,5.6467e-04
4.65,0,0,0.0000e+00,0.0000e+00,4.2751e-04
4.75,0,0,0.0000e+00,0.0000e+00,3.2366e-04
4.85,0,0,0.0000e+00,0.0000e+00,2.4503e-04
4.95,0,0,0.0000e+00,0.0000e+00,1.8549e-04
5.05,0,0,0.0000e+00,0.0000e+00,1.4040e-04
5.15,0,0,0.0000e+00,0.0000e+00,1.0627e-04
5.25,0,0,0.0000e+00,0.0000e+00,8.0422e-05
5.35,0,0,0.0000e+00,0.0000e+00,6.0851e-05
5.45,0,0,0.0000e+00,0.0000e+00,4.6032e-05
5.55,0,0,0.0000e+00,0.0000e+00,3.4812e-05
5.65,0,0,0.0000e+00,0.0000e+00,2.6316e-05
5.75,0,0,0.0000e+00,0.0000e+00,1.9883e-05
5.85,0,0,0.0000e+00,0.0000e+00,1.5012e-05
5.95,0,0,0.0000e+00,0.0000e+00,1.1324e-05
6.05,0,0,0.0000e+00,0.0000e+00,8.5309e-06
6.15,0,0,0.0000e+00,0.0000e+00,6.4164e-06
6.25,0,0,0.0000e+00,0.0000e+00,4.8153e-06
6.35,0,0,0.0000e+00,0.0000e+00,3.6030e-06
6.45,0,0,0.0000e+00,0.0000e+00,2.6851e-06
6.55,0,0,0.0000e+00,0.0000e+00,1.9900e-06
6.65,0,0,0.0000e+00,0.0000e+00,1.4638e-06
6.75,0,0,0.0000e+00,0.0000e+00,1.0653e-06
6.85,0,0,0.0000e+00,0.0000e+00,7.6356e-07
6.95,0,0,0.0000e+00,0.0000e+00,5.3510e-07
7.05,0,0,0.0000e+00,0.0000e+00,3.6211e-07
7.15,0,0,0.0000e+00,0.0000e+00,2.3113e-07
7.25,0,0,0.0000e+00,0.0000e+00,1.3196e-07
7.35,0,0,0.0000e+00,0.0000e+00,5.6861e-08
7.45,0,0,0.0000e+00,0.0000e+00,-4.3307e-22
