MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.45,1,5,3.8961e-02,1.4362e-01,1.4351e-01
3.55,1,4,3.8961e-02,1.0465e-01,1.1993e-01
3.65,0,3,0.0000e+00,6.5693e-02,1.0022e-01
3.75,0,3,0.0000e+00,6.5693e-02,8.3745e-02
3.85,0,3,0.0000e+00,6.5693e-02,6.9978e-02
3.95,0,3,0.0000e+00,6.5693e-02,5.8470e-02
4.05,0,3,0.0000e+00,6.5693e-02,4.8852e-02
4.15,1,3,2.1898e-02,6.5693e-02,4.0813e-02
4.25,0,2,0.0000e+00,4.3796e-02,3.4094e-02
4.35,0,2,0.0000e+00,4.3796e-02,2.8478e-02
4.45,0,2,0.0000e+00,4.3796e-02,2.3785e-02
4.55,0,2,0.0000e+00,4.3796e-02,1.9861e-02
4.65,0,2,0.0000e+00,4.3796e-02,1.6582e-02
4.75,0,2,0.0000e+00,4.3796e-02,1.3842e-02
4.85,0,2,0.0000e+00,4.3796e-02,1.1551e-02
4.95,0,2,0.0000e+00,4.3796e-02,9.6365e-03
5.05,1,2,2.1898e-02,4.3796e-02,8.0362e-03
5.15,0,1,0.0000e+00,2.1898e-02,6.6987e-03
5.25,0,1,0.0000e+00,2.1898e-02,5.5808e-03
5.35,0,1,0.0000e+00,2.1898e-02,4.6465e-03
5.45,0,1,0.0000e+00,2.1898e-02,3.8655e-03
5.55,0,1,0.0000e+00,2.1898e-02,3.2128e-03
5.65,0,1,0.0000e+00,2.1898e-02,2.6672e-03
5.75,0,1,0.0000e+00,2.1898e-02,2.2112e-03
5.85,0,1,0.0000e+00,2.1898e-02,1.8301e-03
5.95,0,1,0.0000e+00,2.1898e-02,1.5116e-03
6.05,0,1,0.0000e+00,2.1898e-02,1.2453e-03
6.15,1,1,2.1898e-02,2.1898e-02,1.0228e-03
6.25,0,0,0.0000e+00,0.0000e+00,8.3679e-04
6.35,0,0,0.0000e+00,0.0000e+00,6.8133e-04
6.45,0,0,0.0000e+00,0.0000e+00,5.5140e-04
6.55,0,0,0.0000e+00,0.0000e+00,4.4280e-04
6.65,0,0,0.0000e+00,0.0000e+00,3.5203e-04
6.75,0,0,0.0000e+00,0.0000e+00,2.7616e-04
6.85,0,0,0.0000e+00,0.0000e+00,2.1275e-04
6.95,0,0,0.0000e+00,0.0000e+00,1.5975e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.1545e-04
7.15,0,0,0.0000e+00,0.0000e+00,7.8429e-05
7.25,0,0,0.0000e+00,0.0000e+00,4.7483e-05
7.35,0,0,0.0000e+00,0.0000e+00,2.1618e-05
7.45,0,0,0.0000e+00,0.0000e+00,-1.7105e-19
