MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,2,10,9.6774e-02,4.4160e-01,4.5432e-01
3.05,4,8,1.9355e-01,3.4483e-01,3.4483e-01
3.15,0,4,0.0000e+00,1.5128e-01,2.6172e-01
3.25,1,4,4.8387e-02,1.5128e-01,1.9865e-01
3.35,1,3,4.8387e-02,1.0289e-01,1.5077e-01
3.45,1,2,3.2609e-02,5.4507e-02,1.1443e-01
3.55,0,1,0.0000e+00,2.1898e-02,8.6854e-02
3.65,0,1,0.0000e+00,2.1898e-02,6.5921e-02
3.75,0,1,0.0000e+00,2.1898e-02,5.0034e-02
3.85,0,1,0.0000e+00,2.1898e-02,3.7975e-02
3.95,0,1,0.0000e+00,2.1898e-02,2.8822e-02
4.05,1,1,2.1898e-02,2.1898e-02,2.1876e-02
4.15,0,0,0.0000e+00,0.0000e+00,1.6603e-02
4.25,0,0,0.0000e+00,0.0000e+00,1.2601e-02
4.35,0,0,0.0000e+00,0.0000e+00,9.5638e-03
4.45,0,0,0.0000e+00,0.0000e+00,7.2584e-03
4.55,0,0,0.0000e+00,0.0000e+00,5.5087e-03
4.65,0,0,0.0000e+00,0.0000e+00,4.1806e-03
4.75,0,0,0.0000e+00,0.0000e+00,3.1726e-03
4.85,0,0,0.0000e+00,0.0000e+00,2.4075e-03
4.95,0,0,0.0000e+00,0.0000e+00,1.8269e-03
5.05,0,0,0.0000e+00,0.0000e+00,1.3861e-03
5.15,0,0,0.0000e+00,0.0000e+00,1.0516e-03
5.25,0,0,0.0000e+00,0.0000e+00,7.9773e-04
5.35,0,0,0.0000e+00,0.0000e+00,6.0503e-04
5.45,0,0,0.0000e+00,0.0000e+00,4.5877e-04
5.55,0,0,0.0000e+00,0.0000e+00,3.4776e-04
5.65,0,0,0.0000e+00,0.0000e+00,2.6350e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.9955e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.5101e-04
5.95,0,0,0.0000e+00,0.0000e+00,1.1417e-04
6.05,0,0,0.0000e+00,0.0000e+00,8.6206e-05
6.15,0,0,0.0000e+00,0.0000e+00,6.4983e-05
6.25,0,0,0.0000e+00,0.0000e+00,4.8875e-05
6.35,0,0,0.0000e+00,0.0000e+00,3.6649e-05
6.45,0,0,0.0000e+00,0.0000e+00,2.7370e-05
6.55,0,0,0.0000e+00,0.0000e+00,2.0327e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.4981e-05
6.75,0,0,0.0000e+00,0.0000e+00,1.0924e-05
6.85,0,0,0.0000e+00,0.0000e+00,7.8442e-06
6.95,0,0,0.0000e+00,0.0000e+00,5.5068e-06
7.05,0,0,0.0000e+00,0.0000e+00,3.7328e-06
7.15,0,0,0.0000e+00,0.0000e+00,2.3864e-06
7.25,0,0,0.0000e+00,0.0000e+00,1.3644e-06
7.35,0,0,0.0000e+00,0.0000e+00,5.8873e-07
7.45,0,0,0.0000e+00,0.0000e+00,-4.5286e-21
