MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.45,0,2,0.0000e+00,5.4507e-02,6.5164e-02
3.55,1,2,3.2609e-02,5.4507e-02,5.4457e-02
3.65,0,1,0.0000e+00,2.1898e-02,4.5507e-02
3.75,0,1,0.0000e+00,2.1898e-02,3.8028e-02
3.85,0,1,0.0000e+00,2.1898e-02,3.1776e-02
3.95,0,1,0.0000e+00,2.1898e-02,2.6550e-02
4.05,0,1,0.0000e+00,2.1898e-02,2.2183e-02
4.15,0,1,0.0000e+00,2.1898e-02,1.8533e-02
4.25,0,1,0.0000e+00,2.1898e-02,1.5482e-02
4.35,0,1,0.0000e+00,2.1898e-02,1.2932e-02
4.45,0,1,0.0000e+00,2.1898e-02,1.0800e-02
4.55,0,1,0.0000e+00,2.1898e-02,9.0188e-03
4.65,0,1,0.0000e+00,2.1898e-02,7.5298e-03
4.75,0,1,0.0000e+00,2.1898e-02,6.2853e-03
4.85,0,1,0.0000e+00,2.1898e-02,5.2452e-03
4.95,0,1,0.0000e+00,2.1898e-02,4.3758e-03
5.05,0,1,0.0000e+00,2.1898e-02,3.6491e-03
5.15,0,1,0.0000e+00,2.1898e-02,3.0418e-03
5.25,1,1,2.1898e-02,2.1898e-02,2.5342e-03
5.35,0,0,0.0000e+00,0.0000e+00,2.1099e-03
5.45,0,0,0.0000e+00,0.0000e+00,1.7553e-03
5.55,0,0,0.0000e+00,0.0000e+00,1.4589e-03
5.65,0,0,0.0000e+00,0.0000e+00,1.2111e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.0041e-03
5.85,0,0,0.0000e+00,0.0000e+00,8.3102e-04
5.95,0,0,0.0000e+00,0.0000e+00,6.8638e-04
6.05,0,0,0.0000e+00,0.0000e+00,5.6548e-04
6.15,0,0,0.0000e+00,0.0000e+00,4.6443e-04
6.25,0,0,0.0000e+00,0.0000e+00,3.7997e-04
6.35,0,0,0.0000e+00,0.0000e+00,3.0938e-04
6.45,0,0,0.0000e+00,0.0000e+00,2.5038e-04
6.55,0,0,0.0000e+00,0.0000e+00,2.0107e-04
6.65,0,0,0.0000e+00,0.0000e+00,1.5985e-04
6.75,0,0,0.0000e+00,0.0000e+00,1.2540e-04
6.85,0,0,0.0000e+00,0.0000e+00,9.6607e-05
6.95,0,0,0.0000e+00,0.0000e+00,7.2540e-05
7.05,0,0,0.0000e+00,0.0000e+00,5.2426e-05
7.15,0,0,0.0000e+00,0.0000e+00,3.5613e-05
7.25,0,0,0.0000e+00,0.0000e+00,2.1561e-05
7.35,0,0,0.0000e+00,0.0000e+00,9.8165e-06
7.45,0,0,0.0000e+00,0.0000e+00,-7.7673e-20
