MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,12,62,5.8065e-01,2.4094e+00,2.7612e+00
3.05,7,50,3.3871e-01,1.8288e+00,2.0957e+00
3.15,5,43,2.4194e-01,1.4900e+00,1.5906e+00
3.25,3,38,1.4516e-01,1.2481e+00,1.2073e+00
3.35,3,35,1.4516e-01,1.1030e+00,9.1633e-01
3.45,12,32,3.9130e-01,9.5779e-01,6.9548e-01
3.55,4,20,1.3043e-01,5.6649e-01,5.2787e-01
3.65,3,16,9.7826e-02,4.3605e-01,4.0065e-01
3.75,3,13,9.7826e-02,3.3823e-01,3.0409e-01
3.85,2,10,6.5217e-02,2.4040e-01,2.3080e-01
3.95,1,8,2.1898e-02,1.7518e-01,1.7517e-01
4.05,0,7,0.0000e+00,1.5328e-01,1.3295e-01
4.15,2,7,4.3796e-02,1.5328e-01,1.0091e-01
4.25,2,5,4.3796e-02,1.0949e-01,7.6585e-02
4.35,2,3,4.3796e-02,6.5693e-02,5.8125e-02
4.45,1,1,2.1898e-02,2.1898e-02,4.4114e-02
4.55,0,0,0.0000e+00,0.0000e+00,3.3480e-02
4.65,0,0,0.0000e+00,0.0000e+00,2.5408e-02
4.75,0,0,0.0000e+00,0.0000e+00,1.9282e-02
4.85,0,0,0.0000e+00,0.0000e+00,1.4632e-02
4.95,0,0,0.0000e+00,0.0000e+00,1.1103e-02
5.05,0,0,0.0000e+00,0.0000e+00,8.4244e-03
5.15,0,0,0.0000e+00,0.0000e+00,6.3914e-03
5.25,0,0,0.0000e+00,0.0000e+00,4.8483e-03
5.35,0,0,0.0000e+00,0.0000e+00,3.6771e-03
5.45,0,0,0.0000e+00,0.0000e+00,2.7882e-03
5.55,0,0,0.0000e+00,0.0000e+00,2.1135e-03
5.65,0,0,0.0000e+00,0.0000e+00,1.6014e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.2128e-03
5.85,0,0,0.0000e+00,0.0000e+00,9.1777e-04
5.95,0,0,0.0000e+00,0.0000e+00,6.9387e-04
6.05,0,0,0.0000e+00,0.0000e+00,5.2393e-04
6.15,0,0,0.0000e+00,0.0000e+00,3.9494e-04
6.25,0,0,0.0000e+00,0.0000e+00,2.9704e-04
6.35,0,0,0.0000e+00,0.0000e+00,2.2274e-04
6.45,0,0,0.0000e+00,0.0000e+00,1.6634e-04
6.55,0,0,0.0000e+00,0.0000e+00,1.2354e-04
6.65,0,0,0.0000e+00,0.0000e+00,9.1049e-05
6.75,0,0,0.0000e+00,0.0000e+00,6.6390e-05
6.85,0,0,0.0000e+00,0.0000e+00,4.7674e-05
6.95,0,0,0.0000e+00,0.0000e+00,3.3469e-05
7.05,0,0,0.0000e+00,0.0000e+00,2.2687e-05
7.15,0,0,0.0000e+00,0.0000e+00,1.4503e-05
7.25,0,0,0.0000e+00,0.0000e+00,8.2923e-06
7.35,0,0,0.0000e+00,0.0000e+00,3.5781e-06
7.45,0,0,0.0000e+00,0.0000e+00,-2.7523e-20
