MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,0,1,0.0000e+00,2.4590e-02,2.0474e+00
3.05,0,1,0.0000e+00,2.4590e-02,1.6893e+00
3.15,0,1,0.0000e+00,2.4590e-02,1.3938e+00
3.25,0,1,0.0000e+00,2.4590e-02,1.1499e+00
3.35,0,1,0.0000e+00,2.4590e-02,9.4875e-01
3.45,0,1,0.0000e+00,2.4590e-02,7.8276e-01
3.55,0,1,0.0000e+00,2.4590e-02,6.4580e-01
3.65,0,1,0.0000e+00,2.4590e-02,5.3280e-01
3.75,0,1,0.0000e+00,2.4590e-02,4.3956e-01
3.85,0,1,0.0000e+00,2.4590e-02,3.6264e-01
3.95,0,1,0.0000e+00,2.4590e-02,2.9916e-01
4.05,0,1,0.0000e+00,2.4590e-02,2.4679e-01
4.15,0,1,0.0000e+00,2.4590e-02,2.0358e-01
4.25,0,1,0.0000e+00,2.4590e-02,1.6793e-01
4.35,0,1,0.0000e+00,2.4590e-02,1.3852e-01
4.45,0,1,0.0000e+00,2.4590e-02,1.1424e-01
4.55,0,1,0.0000e+00,2.4590e-02,9.4219e-02
4.65,0,1,0.0000e+00,2.4590e-02,7.7697e-02
4.75,0,1,0.0000e+00,2.4590e-02,6.4064e-02
4.85,0,1,0.0000e+00,2.4590e-02,5.2816e-02
4.95,0,1,0.0000e+00,2.4590e-02,4.3535e-02
5.05,0,1,0.0000e+00,2.4590e-02,3.5878e-02
5.15,0,1,0.0000e+00,2.4590e-02,2.9559e-02
5.25,1,1,2.4590e-02,2.4590e-02,2.4347e-02
5.35,0,0,0.0000e+00,0.0000e+00,2.0045e-02
5.45,0,0,0.0000e+00,0.0000e+00,1.6497e-02
5.55,0,0,0.0000e+00,0.0000e+00,1.3569e-02
5.65,0,0,0.0000e+00,0.0000e+00,1.1153e-02
5.75,0,0,0.0000e+00,0.0000e+00,9.1592e-03
5.85,0,0,0.0000e+00,0.0000e+00,7.5146e-03
5.95,0,0,0.0000e+00,0.0000e+00,6.1576e-03
6.05,0,0,0.0000e+00,0.0000e+00,5.0379e-03
6.15,0,0,0.0000e+00,0.0000e+00,4.1141e-03
6.25,0,0,0.0000e+00,0.0000e+00,3.3519e-03
6.35,0,0,0.0000e+00,0.0000e+00,2.7230e-03
6.45,0,0,0.0000e+00,0.0000e+00,2.2041e-03
6.55,0,0,0.0000e+00,0.0000e+00,1.7759e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.4227e-03
6.75,0,0,0.0000e+00,0.0000e+00,1.1312e-03
6.85,0,0,0.0000e+00,0.0000e+00,8.9074e-04
6.95,0,0,0.0000e+00,0.0000e+00,6.9232e-04
7.05,0,0,0.0000e+00,0.0000e+00,5.2861e-04
7.15,0,0,0.0000e+00,0.0000e+00,3.9353e-04
7.25,0,0,0.0000e+00,0.0000e+00,2.8208e-04
7.35,0,0,0.0000e+00,0.0000e+00,1.9012e-04
7.45,0,0,0.0000e+00,0.0000e+00,1.1425e-04
7.55,0,0,0.0000e+00,0.0000e+00,5.1651e-05
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00
