MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,3,13,2.8125e-01,1.1280e+00,9.6840e-01
3.05,2,10,1.8750e-01,8.4677e-01,7.9896e-01
3.15,2,8,1.8750e-01,6.5927e-01,6.5916e-01
3.25,4,6,3.7500e-01,4.7177e-01,5.4382e-01
3.35,0,2,0.0000e+00,9.6774e-02,4.4866e-01
3.45,0,2,0.0000e+00,9.6774e-02,3.7015e-01
3.55,1,2,4.8387e-02,9.6774e-02,3.0537e-01
3.65,1,1,4.8387e-02,4.8387e-02,2.5192e-01
3.75,0,0,0.0000e+00,0.0000e+00,2.0783e-01
3.85,0,0,0.0000e+00,0.0000e+00,1.7145e-01
3.95,0,0,0.0000e+00,0.0000e+00,1.4143e-01
4.05,0,0,0.0000e+00,0.0000e+00,1.1667e-01
4.15,0,0,0.0000e+00,0.0000e+00,9.6239e-02
4.25,0,0,0.0000e+00,0.0000e+00,7.9382e-02
4.35,0,0,0.0000e+00,0.0000e+00,6.5474e-02
4.45,0,0,0.0000e+00,0.0000e+00,5.3999e-02
4.55,0,0,0.0000e+00,0.0000e+00,4.4532e-02
4.65,0,0,0.0000e+00,0.0000e+00,3.6721e-02
4.75,0,0,0.0000e+00,0.0000e+00,3.0276e-02
4.85,0,0,0.0000e+00,0.0000e+00,2.4959e-02
4.95,0,0,0.0000e+00,0.0000e+00,2.0573e-02
5.05,0,0,0.0000e+00,0.0000e+00,1.6953e-02
5.15,0,0,0.0000e+00,0.0000e+00,1.3967e-02
5.25,0,0,0.0000e+00,0.0000e+00,1.1504e-02
5.35,0,0,0.0000e+00,0.0000e+00,9.4709e-03
5.45,0,0,0.0000e+00,0.0000e+00,7.7939e-03
5.55,0,0,0.0000e+00,0.0000e+00,6.4102e-03
5.65,0,0,0.0000e+00,0.0000e+00,5.2686e-03
5.75,0,0,0.0000e+00,0.0000e+00,4.3268e-03
5.85,0,0,0.0000e+00,0.0000e+00,3.5497e-03
5.95,0,0,0.0000e+00,0.0000e+00,2.9085e-03
6.05,0,0,0.0000e+00,0.0000e+00,2.3796e-03
6.15,0,0,0.0000e+00,0.0000e+00,1.9431e-03
6.25,0,0,0.0000e+00,0.0000e+00,1.5831e-03
6.35,0,0,0.0000e+00,0.0000e+00,1.2860e-03
6.45,0,0,0.0000e+00,0.0000e+00,1.0409e-03
6.55,0,0,0.0000e+00,0.0000e+00,8.3867e-04
6.65,0,0,0.0000e+00,0.0000e+00,6.7183e-04
6.75,0,0,0.0000e+00,0.0000e+00,5.3417e-04
6.85,0,0,0.0000e+00,0.0000e+00,4.2060e-04
6.95,0,0,0.0000e+00,0.0000e+00,3.2690e-04
7.05,0,0,0.0000e+00,0.0000e+00,2.4959e-04
7.15,0,0,0.0000e+00,0.0000e+00,1.8581e-04
7.25,0,0,0.0000e+00,0.0000e+00,1.3318e-04
7.35,0,0,0.0000e+00,0.0000e+00,8.9762e-05
7.45,0,0,0.0000e+00,0.0000e+00,5.3940e-05
7.55,0,0,0.0000e+00,0.0000e+00,2.4384e-05
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00
