MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,0,7,0.0000e+00,5.6552e-01,6.8533e-01
3.05,3,7,2.8125e-01,5.6552e-01,5.6544e-01
3.15,1,4,9.3750e-02,2.8427e-01,4.6653e-01
3.25,1,3,9.3750e-02,1.9052e-01,3.8491e-01
3.35,0,2,0.0000e+00,9.6774e-02,3.1757e-01
3.45,0,2,0.0000e+00,9.6774e-02,2.6201e-01
3.55,0,2,0.0000e+00,9.6774e-02,2.1617e-01
3.65,1,2,4.8387e-02,9.6774e-02,1.7834e-01
3.75,0,1,0.0000e+00,4.8387e-02,1.4713e-01
3.85,0,1,0.0000e+00,4.8387e-02,1.2138e-01
3.95,0,1,0.0000e+00,4.8387e-02,1.0014e-01
4.05,0,1,0.0000e+00,4.8387e-02,8.2608e-02
4.15,0,1,0.0000e+00,4.8387e-02,6.8145e-02
4.25,1,1,4.8387e-02,4.8387e-02,5.6211e-02
4.35,0,0,0.0000e+00,0.0000e+00,4.6365e-02
4.45,0,0,0.0000e+00,0.0000e+00,3.8241e-02
4.55,0,0,0.0000e+00,0.0000e+00,3.1538e-02
4.65,0,0,0.0000e+00,0.0000e+00,2.6007e-02
4.75,0,0,0.0000e+00,0.0000e+00,2.1444e-02
4.85,0,0,0.0000e+00,0.0000e+00,1.7679e-02
4.95,0,0,0.0000e+00,0.0000e+00,1.4572e-02
5.05,0,0,0.0000e+00,0.0000e+00,1.2009e-02
5.15,0,0,0.0000e+00,0.0000e+00,9.8943e-03
5.25,0,0,0.0000e+00,0.0000e+00,8.1494e-03
5.35,0,0,0.0000e+00,0.0000e+00,6.7097e-03
5.45,0,0,0.0000e+00,0.0000e+00,5.5218e-03
5.55,0,0,0.0000e+00,0.0000e+00,4.5417e-03
5.65,0,0,0.0000e+00,0.0000e+00,3.7331e-03
5.75,0,0,0.0000e+00,0.0000e+00,3.0658e-03
5.85,0,0,0.0000e+00,0.0000e+00,2.5153e-03
5.95,0,0,0.0000e+00,0.0000e+00,2.0611e-03
6.05,0,0,0.0000e+00,0.0000e+00,1.6863e-03
6.15,0,0,0.0000e+00,0.0000e+00,1.3771e-03
6.25,0,0,0.0000e+00,0.0000e+00,1.1220e-03
6.35,0,0,0.0000e+00,0.0000e+00,9.1145e-04
6.45,0,0,0.0000e+00,0.0000e+00,7.3776e-04
6.55,0,0,0.0000e+00,0.0000e+00,5.9445e-04
6.65,0,0,0.0000e+00,0.0000e+00,4.7621e-04
6.75,0,0,0.0000e+00,0.0000e+00,3.7865e-04
6.85,0,0,0.0000e+00,0.0000e+00,2.9815e-04
6.95,0,0,0.0000e+00,0.0000e+00,2.3174e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.7694e-04
7.15,0,0,0.0000e+00,0.0000e+00,1.3173e-04
7.25,0,0,0.0000e+00,0.0000e+00,9.4420e-05
7.35,0,0,0.0000e+00,0.0000e+00,6.3640e-05
7.45,0,0,0.0000e+00,0.0000e+00,3.8243e-05
7.55,0,0,0.0000e+00,0.0000e+00,1.7289e-05
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00
