MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.45,1,16,3.8961e-02,5.6444e-01,6.4858e-01
3.55,1,15,3.8961e-02,5.2548e-01,5.3705e-01
3.65,2,14,7.7922e-02,4.8652e-01,4.4469e-01
3.75,3,12,1.1688e-01,4.0860e-01,3.6820e-01
3.85,1,9,3.8961e-02,2.9171e-01,3.0486e-01
3.95,1,8,3.8961e-02,2.5275e-01,2.5241e-01
4.05,4,7,1.5584e-01,2.1379e-01,2.0897e-01
4.15,0,3,0.0000e+00,5.7947e-02,1.7299e-01
4.25,1,3,2.1898e-02,5.7947e-02,1.4320e-01
4.35,0,2,0.0000e+00,3.6049e-02,1.1853e-01
4.45,0,2,0.0000e+00,3.6049e-02,9.8101e-02
4.55,0,2,0.0000e+00,3.6049e-02,8.1182e-02
4.65,0,2,0.0000e+00,3.6049e-02,6.7170e-02
4.75,0,2,0.0000e+00,3.6049e-02,5.5567e-02
4.85,0,2,0.0000e+00,3.6049e-02,4.5958e-02
4.95,0,2,0.0000e+00,3.6049e-02,3.8000e-02
5.05,1,2,2.1898e-02,3.6049e-02,3.1410e-02
5.15,0,1,0.0000e+00,1.4151e-02,2.5953e-02
5.25,0,1,0.0000e+00,1.4151e-02,2.1433e-02
5.35,0,1,0.0000e+00,1.4151e-02,1.7690e-02
5.45,0,1,0.0000e+00,1.4151e-02,1.4591e-02
5.55,0,1,0.0000e+00,1.4151e-02,1.2024e-02
5.65,0,1,0.0000e+00,1.4151e-02,9.8985e-03
5.75,0,1,0.0000e+00,1.4151e-02,8.1382e-03
5.85,0,1,0.0000e+00,1.4151e-02,6.6805e-03
5.95,0,1,0.0000e+00,1.4151e-02,5.4732e-03
6.05,0,1,0.0000e+00,1.4151e-02,4.4735e-03
6.15,0,1,0.0000e+00,1.4151e-02,3.6456e-03
6.25,0,1,0.0000e+00,1.4151e-02,2.9599e-03
6.35,0,1,0.0000e+00,1.4151e-02,2.3922e-03
6.45,0,1,0.0000e+00,1.4151e-02,1.9219e-03
6.55,1,1,1.4151e-02,1.4151e-02,1.5326e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.2101e-03
6.75,0,0,0.0000e+00,0.0000e+00,9.4304e-04
6.85,0,0,0.0000e+00,0.0000e+00,7.2189e-04
6.95,0,0,0.0000e+00,0.0000e+00,5.3875e-04
7.05,0,0,0.0000e+00,0.0000e+00,3.8708e-04
7.15,0,0,0.0000e+00,0.0000e+00,2.6148e-04
7.25,0,0,0.0000e+00,0.0000e+00,1.5747e-04
7.35,0,0,0.0000e+00,0.0000e+00,7.1333e-05
7.45,0,0,0.0000e+00,0.0000e+00,-6.1055e-19
