MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.45,39,142,1.5195e+00,4.9275e+00,3.1948e+00
3.55,14,103,5.4545e-01,3.4080e+00,2.6698e+00
3.65,22,89,8.5714e-01,2.8626e+00,2.2311e+00
3.75,9,67,3.5065e-01,2.0054e+00,1.8644e+00
3.85,9,58,3.5065e-01,1.6548e+00,1.5579e+00
3.95,5,49,1.9481e-01,1.3041e+00,1.3017e+00
4.05,9,44,3.5065e-01,1.1093e+00,1.0876e+00
4.15,6,35,1.3139e-01,7.5868e-01,9.0860e-01
4.25,2,29,4.3796e-02,6.2729e-01,7.5902e-01
4.35,6,27,1.3139e-01,5.8349e-01,6.3400e-01
4.45,4,21,8.7591e-02,4.5211e-01,5.2950e-01
4.55,2,17,4.3796e-02,3.6452e-01,4.4216e-01
4.65,3,15,6.5693e-02,3.2072e-01,3.6916e-01
4.75,1,12,2.1898e-02,2.5503e-01,3.0815e-01
4.85,1,11,2.1898e-02,2.3313e-01,2.5715e-01
4.95,2,10,4.3796e-02,2.1123e-01,2.1453e-01
5.05,1,8,2.1898e-02,1.6744e-01,1.7891e-01
5.15,2,7,4.3796e-02,1.4554e-01,1.4913e-01
5.25,1,5,2.1898e-02,1.0174e-01,1.2424e-01
5.35,1,4,2.1898e-02,7.9844e-02,1.0344e-01
5.45,0,3,0.0000e+00,5.7947e-02,8.6055e-02
5.55,0,3,0.0000e+00,5.7947e-02,7.1524e-02
5.65,1,3,2.1898e-02,5.7947e-02,5.9378e-02
5.75,0,2,0.0000e+00,3.6049e-02,4.9227e-02
5.85,0,2,0.0000e+00,3.6049e-02,4.0742e-02
5.95,0,2,0.0000e+00,3.6049e-02,3.3651e-02
6.05,1,2,2.1898e-02,3.6049e-02,2.7724e-02
6.15,0,1,0.0000e+00,1.4151e-02,2.2770e-02
6.25,0,1,0.0000e+00,1.4151e-02,1.8629e-02
6.35,1,1,1.4151e-02,1.4151e-02,1.5168e-02
6.45,0,0,0.0000e+00,0.0000e+00,1.2275e-02
6.55,0,0,0.0000e+00,0.0000e+00,9.8577e-03
6.65,0,0,0.0000e+00,0.0000e+00,7.8370e-03
6.75,0,0,0.0000e+00,0.0000e+00,6.1480e-03
6.85,0,0,0.0000e+00,0.0000e+00,4.7363e-03
6.95,0,0,0.0000e+00,0.0000e+00,3.5564e-03
7.05,0,0,0.0000e+00,0.0000e+00,2.5703e-03
7.15,0,0,0.0000e+00,0.0000e+00,1.7460e-03
7.25,0,0,0.0000e+00,0.0000e+00,1.0571e-03
7.35,0,0,0.0000e+00,0.0000e+00,4.8127e-04
7.45,0,0,0.0000e+00,0.0000e+00,-3.8081e-18
