MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.45,5,39,1.9481e-01,1.2899e+00,1.0602e+00
3.55,8,34,3.1169e-01,1.0951e+00,8.8597e-01
3.65,5,26,1.9481e-01,7.8342e-01,7.4037e-01
3.75,1,21,3.8961e-02,5.8861e-01,6.1868e-01
3.85,3,20,1.1688e-01,5.4965e-01,5.1697e-01
3.95,1,17,3.8961e-02,4.3277e-01,4.3196e-01
4.05,3,16,1.1688e-01,3.9381e-01,3.6090e-01
4.15,3,13,6.5693e-02,2.7692e-01,3.0151e-01
4.25,2,10,4.3796e-02,2.1123e-01,2.5188e-01
4.35,0,8,0.0000e+00,1.6744e-01,2.1039e-01
4.45,3,8,6.5693e-02,1.6744e-01,1.7571e-01
4.55,0,5,0.0000e+00,1.0174e-01,1.4673e-01
4.65,2,5,4.3796e-02,1.0174e-01,1.2250e-01
4.75,0,3,0.0000e+00,5.7947e-02,1.0226e-01
4.85,0,3,0.0000e+00,5.7947e-02,8.5335e-02
4.95,0,3,0.0000e+00,5.7947e-02,7.1191e-02
5.05,0,3,0.0000e+00,5.7947e-02,5.9369e-02
5.15,0,3,0.0000e+00,5.7947e-02,4.9488e-02
5.25,0,3,0.0000e+00,5.7947e-02,4.1229e-02
5.35,0,3,0.0000e+00,5.7947e-02,3.4326e-02
5.45,0,3,0.0000e+00,5.7947e-02,2.8557e-02
5.55,0,3,0.0000e+00,5.7947e-02,2.3735e-02
5.65,1,3,2.1898e-02,5.7947e-02,1.9704e-02
5.75,0,2,0.0000e+00,3.6049e-02,1.6336e-02
5.85,0,2,0.0000e+00,3.6049e-02,1.3520e-02
5.95,0,2,0.0000e+00,3.6049e-02,1.1167e-02
6.05,1,2,2.1898e-02,3.6049e-02,9.1999e-03
6.15,0,1,0.0000e+00,1.4151e-02,7.5560e-03
6.25,0,1,0.0000e+00,1.4151e-02,6.1819e-03
6.35,0,1,0.0000e+00,1.4151e-02,5.0334e-03
6.45,0,1,0.0000e+00,1.4151e-02,4.0735e-03
6.55,1,1,1.4151e-02,1.4151e-02,3.2712e-03
6.65,0,0,0.0000e+00,0.0000e+00,2.6007e-03
6.75,0,0,0.0000e+00,0.0000e+00,2.0402e-03
6.85,0,0,0.0000e+00,0.0000e+00,1.5717e-03
6.95,0,0,0.0000e+00,0.0000e+00,1.1802e-03
7.05,0,0,0.0000e+00,0.0000e+00,8.5293e-04
7.15,0,0,0.0000e+00,0.0000e+00,5.7940e-04
7.25,0,0,0.0000e+00,0.0000e+00,3.5079e-04
7.35,0,0,0.0000e+00,0.0000e+00,1.5971e-04
7.45,0,0,0.0000e+00,0.0000e+00,-1.2637e-18
