MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,25,238,2.3437e+00,1.6097e+01,1.1412e+01
3.05,24,213,2.2500e+00,1.3753e+01,9.4153e+00
3.15,23,189,2.1562e+00,1.1503e+01,7.7678e+00
3.25,20,166,1.8750e+00,9.3465e+00,6.4086e+00
3.35,17,146,1.5937e+00,7.4715e+00,5.2872e+00
3.45,35,129,1.6935e+00,5.8778e+00,4.3620e+00
3.55,15,94,7.2581e-01,4.1842e+00,3.5986e+00
3.65,22,79,1.0645e+00,3.4584e+00,2.9688e+00
3.75,4,57,1.9355e-01,2.3939e+00,2.4492e+00
3.85,11,53,5.3226e-01,2.2003e+00,2.0204e+00
3.95,6,42,2.9032e-01,1.6681e+00,1.6667e+00
4.05,8,36,3.8710e-01,1.3778e+00,1.3749e+00
4.15,5,28,2.4194e-01,9.9066e-01,1.1341e+00
4.25,4,23,1.9355e-01,7.4873e-01,9.3547e-01
4.35,3,19,1.4516e-01,5.5518e-01,7.7157e-01
4.45,0,16,0.0000e+00,4.1002e-01,6.3635e-01
4.55,1,16,4.8387e-02,4.1002e-01,5.2478e-01
4.65,0,15,0.0000e+00,3.6163e-01,4.3273e-01
4.75,0,15,0.0000e+00,3.6163e-01,3.5679e-01
4.85,0,15,0.0000e+00,3.6163e-01,2.9413e-01
4.95,2,15,4.9180e-02,3.6163e-01,2.4244e-01
5.05,5,13,1.2295e-01,3.1245e-01,1.9979e-01
5.15,1,8,2.4590e-02,1.8950e-01,1.6460e-01
5.25,1,7,2.4590e-02,1.6491e-01,1.3556e-01
5.35,1,6,2.4590e-02,1.4032e-01,1.1161e-01
5.45,3,5,7.3770e-02,1.1573e-01,9.1846e-02
5.55,0,2,0.0000e+00,4.1958e-02,7.5540e-02
5.65,0,2,0.0000e+00,4.1958e-02,6.2088e-02
5.75,0,2,0.0000e+00,4.1958e-02,5.0988e-02
5.85,0,2,0.0000e+00,4.1958e-02,4.1831e-02
5.95,0,2,0.0000e+00,4.1958e-02,3.4275e-02
6.05,0,2,0.0000e+00,4.1958e-02,2.8042e-02
6.15,1,2,2.0979e-02,4.1958e-02,2.2899e-02
6.25,0,1,0.0000e+00,2.0979e-02,1.8656e-02
6.35,1,1,2.0979e-02,2.0979e-02,1.5155e-02
6.45,0,0,0.0000e+00,0.0000e+00,1.2266e-02
6.55,0,0,0.0000e+00,0.0000e+00,9.8832e-03
6.65,0,0,0.0000e+00,0.0000e+00,7.9171e-03
6.75,0,0,0.0000e+00,0.0000e+00,6.2949e-03
6.85,0,0,0.0000e+00,0.0000e+00,4.9565e-03
6.95,0,0,0.0000e+00,0.0000e+00,3.8523e-03
7.05,0,0,0.0000e+00,0.0000e+00,2.9413e-03
7.15,0,0,0.0000e+00,0.0000e+00,2.1896e-03
7.25,0,0,0.0000e+00,0.0000e+00,1.5694e-03
7.35,0,0,0.0000e+00,0.0000e+00,1.0578e-03
7.45,0,0,0.0000e+00,0.0000e+00,6.3564e-04
7.55,0,0,0.0000e+00,0.0000e+00,2.8736e-04
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00
