MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,215,957,1.0403e+01,4.1029e+01,2.3699e+01
3.05,210,742,1.0161e+01,3.0626e+01,1.7943e+01
3.15,107,532,5.1774e+00,2.0464e+01,1.3586e+01
3.25,108,425,5.2258e+00,1.5287e+01,1.0286e+01
3.35,28,317,1.3548e+00,1.0061e+01,7.7879e+00
3.45,82,289,2.6739e+00,8.7063e+00,5.8965e+00
3.55,46,207,1.5000e+00,6.0324e+00,4.4645e+00
3.65,44,161,1.4348e+00,4.5324e+00,3.3802e+00
3.75,30,117,9.7826e-01,3.0976e+00,2.5592e+00
3.85,20,87,6.5217e-01,2.1193e+00,1.9377e+00
3.95,17,67,3.7226e-01,1.4672e+00,1.4671e+00
4.05,13,50,2.8467e-01,1.0949e+00,1.1107e+00
4.15,8,37,1.7518e-01,8.1022e-01,8.4097e-01
4.25,6,29,1.3139e-01,6.3504e-01,6.3671e-01
4.35,8,23,1.7518e-01,5.0365e-01,4.8205e-01
4.45,1,15,2.1898e-02,3.2847e-01,3.6496e-01
4.55,4,14,8.7591e-02,3.0657e-01,2.7630e-01
4.65,2,10,4.3796e-02,2.1898e-01,2.0918e-01
4.75,1,8,2.1898e-02,1.7518e-01,1.5836e-01
4.85,2,7,4.3796e-02,1.5328e-01,1.1988e-01
4.95,0,5,0.0000e+00,1.0949e-01,9.0742e-02
5.05,0,5,0.0000e+00,1.0949e-01,6.8683e-02
5.15,2,5,4.3796e-02,1.0949e-01,5.1981e-02
5.25,2,3,4.3796e-02,6.5693e-02,3.9336e-02
5.35,1,1,2.1898e-02,2.1898e-02,2.9762e-02
5.45,0,0,0.0000e+00,0.0000e+00,2.2513e-02
5.55,0,0,0.0000e+00,0.0000e+00,1.7024e-02
5.65,0,0,0.0000e+00,0.0000e+00,1.2869e-02
5.75,0,0,0.0000e+00,0.0000e+00,9.7222e-03
5.85,0,0,0.0000e+00,0.0000e+00,7.3400e-03
5.95,0,0,0.0000e+00,0.0000e+00,5.5364e-03
6.05,0,0,0.0000e+00,0.0000e+00,4.1708e-03
6.15,0,0,0.0000e+00,0.0000e+00,3.1368e-03
6.25,0,0,0.0000e+00,0.0000e+00,2.3540e-03
6.35,0,0,0.0000e+00,0.0000e+00,1.7612e-03
6.45,0,0,0.0000e+00,0.0000e+00,1.3125e-03
6.55,0,0,0.0000e+00,0.0000e+00,9.7268e-04
6.65,0,0,0.0000e+00,0.0000e+00,7.1541e-04
6.75,0,0,0.0000e+00,0.0000e+00,5.2063e-04
6.85,0,0,0.0000e+00,0.0000e+00,3.7315e-04
6.95,0,0,0.0000e+00,0.0000e+00,2.6149e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.7695e-04
7.15,0,0,0.0000e+00,0.0000e+00,1.1294e-04
7.25,0,0,0.0000e+00,0.0000e+00,6.4477e-05
7.35,0,0,0.0000e+00,0.0000e+00,2.7783e-05
7.45,0,0,0.0000e+00,0.0000e+00,-2.1155e-19
