MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,1,22,3.2609e-02,6.2622e-01,6.2596e-01
3.05,3,21,9.7826e-02,5.9361e-01,5.2656e-01
3.15,3,18,9.7826e-02,4.9578e-01,4.4294e-01
3.25,4,15,1.3043e-01,3.9796e-01,3.7259e-01
3.35,1,11,3.2609e-02,2.6752e-01,3.1341e-01
3.45,1,10,2.4590e-02,2.3491e-01,2.6363e-01
3.55,2,9,4.9180e-02,2.1032e-01,2.2174e-01
3.65,4,7,9.8361e-02,1.6114e-01,1.8650e-01
3.75,0,3,0.0000e+00,6.2783e-02,1.5686e-01
3.85,0,3,0.0000e+00,6.2783e-02,1.3192e-01
3.95,0,3,0.0000e+00,6.2783e-02,1.1094e-01
4.05,1,3,2.1898e-02,6.2783e-02,9.3289e-02
4.15,1,2,2.1898e-02,4.0885e-02,7.8440e-02
4.25,0,1,0.0000e+00,1.8987e-02,6.5948e-02
4.35,0,1,0.0000e+00,1.8987e-02,5.5439e-02
4.45,0,1,0.0000e+00,1.8987e-02,4.6598e-02
4.55,0,1,0.0000e+00,1.8987e-02,3.9160e-02
4.65,0,1,0.0000e+00,1.8987e-02,3.2903e-02
4.75,0,1,0.0000e+00,1.8987e-02,2.7639e-02
4.85,0,1,0.0000e+00,1.8987e-02,2.3210e-02
4.95,1,1,1.8987e-02,1.8987e-02,1.9484e-02
5.05,0,0,0.0000e+00,0.0000e+00,1.6350e-02
5.15,0,0,0.0000e+00,0.0000e+00,1.3713e-02
5.25,0,0,0.0000e+00,0.0000e+00,1.1495e-02
5.35,0,0,0.0000e+00,0.0000e+00,9.6288e-03
5.45,0,0,0.0000e+00,0.0000e+00,8.0588e-03
5.55,0,0,0.0000e+00,0.0000e+00,6.7380e-03
5.65,0,0,0.0000e+00,0.0000e+00,5.6269e-03
5.75,0,0,0.0000e+00,0.0000e+00,4.6921e-03
5.85,0,0,0.0000e+00,0.0000e+00,3.9057e-03
5.95,0,0,0.0000e+00,0.0000e+00,3.2441e-03
6.05,0,0,0.0000e+00,0.0000e+00,2.6876e-03
6.15,0,0,0.0000e+00,0.0000e+00,2.2193e-03
6.25,0,0,0.0000e+00,0.0000e+00,1.8254e-03
6.35,0,0,0.0000e+00,0.0000e+00,1.4940e-03
6.45,0,0,0.0000e+00,0.0000e+00,1.2153e-03
6.55,0,0,0.0000e+00,0.0000e+00,9.8072e-04
6.65,0,0,0.0000e+00,0.0000e+00,7.8340e-04
6.75,0,0,0.0000e+00,0.0000e+00,6.1741e-04
6.85,0,0,0.0000e+00,0.0000e+00,4.7776e-04
6.95,0,0,0.0000e+00,0.0000e+00,3.6028e-04
7.05,0,0,0.0000e+00,0.0000e+00,2.6145e-04
7.15,0,0,0.0000e+00,0.0000e+00,1.7830e-04
7.25,0,0,0.0000e+00,0.0000e+00,1.0835e-04
7.35,0,0,0.0000e+00,0.0000e+00,4.9506e-05
7.45,0,0,0.0000e+00,0.0000e+00,-4.0784e-19
