MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,6,32,1.9565e-01,9.2549e-01,9.2505e-01
3.05,5,26,1.6304e-01,7.2984e-01,7.8066e-01
3.15,4,21,1.3043e-01,5.6680e-01,6.5880e-01
3.25,3,17,9.7826e-02,4.3636e-01,5.5595e-01
3.35,2,14,6.5217e-02,3.3854e-01,4.6915e-01
3.45,1,12,2.4590e-02,2.7332e-01,3.9589e-01
3.55,0,11,0.0000e+00,2.4873e-01,3.3405e-01
3.65,3,11,7.3770e-02,2.4873e-01,2.8187e-01
3.75,2,8,4.9180e-02,1.7496e-01,2.3782e-01
3.85,0,6,0.0000e+00,1.2578e-01,2.0065e-01
3.95,1,6,2.1898e-02,1.2578e-01,1.6928e-01
4.05,1,5,2.1898e-02,1.0388e-01,1.4280e-01
4.15,1,4,2.1898e-02,8.1981e-02,1.2045e-01
4.25,0,3,0.0000e+00,6.0083e-02,1.0159e-01
4.35,0,3,0.0000e+00,6.0083e-02,8.5671e-02
4.45,1,3,2.0548e-02,6.0083e-02,7.2235e-02
4.55,1,2,2.0548e-02,3.9535e-02,6.0896e-02
4.65,0,1,0.0000e+00,1.8987e-02,5.1326e-02
4.75,0,1,0.0000e+00,1.8987e-02,4.3248e-02
4.85,0,1,0.0000e+00,1.8987e-02,3.6431e-02
4.95,0,1,0.0000e+00,1.8987e-02,3.0678e-02
5.05,0,1,0.0000e+00,1.8987e-02,2.5822e-02
5.15,0,1,0.0000e+00,1.8987e-02,2.1723e-02
5.25,0,1,0.0000e+00,1.8987e-02,1.8264e-02
5.35,0,1,0.0000e+00,1.8987e-02,1.5345e-02
5.45,0,1,0.0000e+00,1.8987e-02,1.2881e-02
5.55,0,1,0.0000e+00,1.8987e-02,1.0802e-02
5.65,1,1,1.8987e-02,1.8987e-02,9.0465e-03
5.75,0,0,0.0000e+00,0.0000e+00,7.5652e-03
5.85,0,0,0.0000e+00,0.0000e+00,6.3150e-03
5.95,0,0,0.0000e+00,0.0000e+00,5.2599e-03
6.05,0,0,0.0000e+00,0.0000e+00,4.3694e-03
6.15,0,0,0.0000e+00,0.0000e+00,3.6178e-03
6.25,0,0,0.0000e+00,0.0000e+00,2.9834e-03
6.35,0,0,0.0000e+00,0.0000e+00,2.4480e-03
6.45,0,0,0.0000e+00,0.0000e+00,1.9962e-03
6.55,0,0,0.0000e+00,0.0000e+00,1.6148e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.2930e-03
6.75,0,0,0.0000e+00,0.0000e+00,1.0213e-03
6.85,0,0,0.0000e+00,0.0000e+00,7.9203e-04
6.95,0,0,0.0000e+00,0.0000e+00,5.9853e-04
7.05,0,0,0.0000e+00,0.0000e+00,4.3522e-04
7.15,0,0,0.0000e+00,0.0000e+00,2.9738e-04
7.25,0,0,0.0000e+00,0.0000e+00,1.8105e-04
7.35,0,0,0.0000e+00,0.0000e+00,8.2866e-05
7.45,0,0,0.0000e+00,0.0000e+00,-6.9678e-19
