MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,2,4,6.5217e-02,1.2242e-01,1.2241e-01
3.05,0,2,0.0000e+00,5.7199e-02,9.6840e-02
3.15,1,2,3.2609e-02,5.7199e-02,7.6609e-02
3.25,0,1,0.0000e+00,2.4590e-02,6.0605e-02
3.35,0,1,0.0000e+00,2.4590e-02,4.7944e-02
3.45,0,1,0.0000e+00,2.4590e-02,3.7928e-02
3.55,1,1,2.4590e-02,2.4590e-02,3.0004e-02
3.65,0,0,0.0000e+00,0.0000e+00,2.3735e-02
3.75,0,0,0.0000e+00,0.0000e+00,1.8776e-02
3.85,0,0,0.0000e+00,0.0000e+00,1.4853e-02
3.95,0,0,0.0000e+00,0.0000e+00,1.1750e-02
4.05,0,0,0.0000e+00,0.0000e+00,9.2945e-03
4.15,0,0,0.0000e+00,0.0000e+00,7.3522e-03
4.25,0,0,0.0000e+00,0.0000e+00,5.8156e-03
4.35,0,0,0.0000e+00,0.0000e+00,4.6001e-03
4.45,0,0,0.0000e+00,0.0000e+00,3.6384e-03
4.55,0,0,0.0000e+00,0.0000e+00,2.8777e-03
4.65,0,0,0.0000e+00,0.0000e+00,2.2759e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.7998e-03
4.85,0,0,0.0000e+00,0.0000e+00,1.4231e-03
4.95,0,0,0.0000e+00,0.0000e+00,1.1252e-03
5.05,0,0,0.0000e+00,0.0000e+00,8.8943e-04
5.15,0,0,0.0000e+00,0.0000e+00,7.0296e-04
5.25,0,0,0.0000e+00,0.0000e+00,5.5543e-04
5.35,0,0,0.0000e+00,0.0000e+00,4.3873e-04
5.45,0,0,0.0000e+00,0.0000e+00,3.4641e-04
5.55,0,0,0.0000e+00,0.0000e+00,2.7337e-04
5.65,0,0,0.0000e+00,0.0000e+00,2.1559e-04
5.75,0,0,0.0000e+00,0.0000e+00,1.6988e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.3372e-04
5.95,0,0,0.0000e+00,0.0000e+00,1.0511e-04
6.05,0,0,0.0000e+00,0.0000e+00,8.2479e-05
6.15,0,0,0.0000e+00,0.0000e+00,6.4576e-05
6.25,0,0,0.0000e+00,0.0000e+00,5.0413e-05
6.35,0,0,0.0000e+00,0.0000e+00,3.9208e-05
6.45,0,0,0.0000e+00,0.0000e+00,3.0344e-05
6.55,0,0,0.0000e+00,0.0000e+00,2.3332e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.7785e-05
6.75,0,0,0.0000e+00,0.0000e+00,1.3396e-05
6.85,0,0,0.0000e+00,0.0000e+00,9.9246e-06
6.95,0,0,0.0000e+00,0.0000e+00,7.1781e-06
7.05,0,0,0.0000e+00,0.0000e+00,5.0054e-06
7.15,0,0,0.0000e+00,0.0000e+00,3.2865e-06
7.25,0,0,0.0000e+00,0.0000e+00,1.9267e-06
7.35,0,0,0.0000e+00,0.0000e+00,8.5100e-07
7.45,0,0,0.0000e+00,0.0000e+00,-6.4403e-21
