MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,0,17,0.0000e+00,4.7092e-01,5.8507e-01
3.05,4,17,1.3043e-01,4.7092e-01,4.7088e-01
3.15,4,13,1.3043e-01,3.4048e-01,3.7898e-01
3.25,1,9,3.2609e-02,2.1005e-01,3.0502e-01
3.35,0,8,0.0000e+00,1.7744e-01,2.4549e-01
3.45,1,8,2.4590e-02,1.7744e-01,1.9757e-01
3.55,0,7,0.0000e+00,1.5285e-01,1.5901e-01
3.65,1,7,2.4590e-02,1.5285e-01,1.2797e-01
3.75,1,6,2.4590e-02,1.2826e-01,1.0299e-01
3.85,0,5,0.0000e+00,1.0367e-01,8.2885e-02
3.95,0,5,0.0000e+00,1.0367e-01,6.6704e-02
4.05,1,5,2.1898e-02,1.0367e-01,5.3680e-02
4.15,1,4,2.1898e-02,8.1770e-02,4.3197e-02
4.25,1,3,2.1898e-02,5.9872e-02,3.4761e-02
4.35,0,2,0.0000e+00,3.7975e-02,2.7971e-02
4.45,0,2,0.0000e+00,3.7975e-02,2.2506e-02
4.55,0,2,0.0000e+00,3.7975e-02,1.8107e-02
4.65,0,2,0.0000e+00,3.7975e-02,1.4567e-02
4.75,0,2,0.0000e+00,3.7975e-02,1.1718e-02
4.85,0,2,0.0000e+00,3.7975e-02,9.4243e-03
4.95,0,2,0.0000e+00,3.7975e-02,7.5786e-03
5.05,0,2,0.0000e+00,3.7975e-02,6.0931e-03
5.15,1,2,1.8987e-02,3.7975e-02,4.8975e-03
5.25,1,1,1.8987e-02,1.8987e-02,3.9352e-03
5.35,0,0,0.0000e+00,0.0000e+00,3.1607e-03
5.45,0,0,0.0000e+00,0.0000e+00,2.5374e-03
5.55,0,0,0.0000e+00,0.0000e+00,2.0357e-03
5.65,0,0,0.0000e+00,0.0000e+00,1.6319e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.3069e-03
5.85,0,0,0.0000e+00,0.0000e+00,1.0453e-03
5.95,0,0,0.0000e+00,0.0000e+00,8.3479e-04
6.05,0,0,0.0000e+00,0.0000e+00,6.6536e-04
6.15,0,0,0.0000e+00,0.0000e+00,5.2898e-04
6.25,0,0,0.0000e+00,0.0000e+00,4.1922e-04
6.35,0,0,0.0000e+00,0.0000e+00,3.3088e-04
6.45,0,0,0.0000e+00,0.0000e+00,2.5978e-04
6.55,0,0,0.0000e+00,0.0000e+00,2.0256e-04
6.65,0,0,0.0000e+00,0.0000e+00,1.5650e-04
6.75,0,0,0.0000e+00,0.0000e+00,1.1943e-04
6.85,0,0,0.0000e+00,0.0000e+00,8.9599e-05
6.95,0,0,0.0000e+00,0.0000e+00,6.5586e-05
7.05,0,0,0.0000e+00,0.0000e+00,4.6260e-05
7.15,0,0,0.0000e+00,0.0000e+00,3.0705e-05
7.25,0,0,0.0000e+00,0.0000e+00,1.8186e-05
7.35,0,0,0.0000e+00,0.0000e+00,8.1097e-06
7.45,0,0,0.0000e+00,0.0000e+00,-6.6839e-20
