MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,0,3,0.0000e+00,8.9808e-02,1.2357e-01
3.05,0,3,0.0000e+00,8.9808e-02,1.0530e-01
3.15,1,3,3.2609e-02,8.9808e-02,8.9740e-02
3.25,0,2,0.0000e+00,5.7199e-02,7.6475e-02
3.35,1,2,3.2609e-02,5.7199e-02,6.5170e-02
3.45,0,1,0.0000e+00,2.4590e-02,5.5534e-02
3.55,1,1,2.4590e-02,2.4590e-02,4.7321e-02
3.65,0,0,0.0000e+00,0.0000e+00,4.0322e-02
3.75,0,0,0.0000e+00,0.0000e+00,3.4356e-02
3.85,0,0,0.0000e+00,0.0000e+00,2.9271e-02
3.95,0,0,0.0000e+00,0.0000e+00,2.4938e-02
4.05,0,0,0.0000e+00,0.0000e+00,2.1244e-02
4.15,0,0,0.0000e+00,0.0000e+00,1.8097e-02
4.25,0,0,0.0000e+00,0.0000e+00,1.5414e-02
4.35,0,0,0.0000e+00,0.0000e+00,1.3127e-02
4.45,0,0,0.0000e+00,0.0000e+00,1.1178e-02
4.55,0,0,0.0000e+00,0.0000e+00,9.5170e-03
4.65,0,0,0.0000e+00,0.0000e+00,8.1013e-03
4.75,0,0,0.0000e+00,0.0000e+00,6.8948e-03
4.85,0,0,0.0000e+00,0.0000e+00,5.8664e-03
4.95,0,0,0.0000e+00,0.0000e+00,4.9899e-03
5.05,0,0,0.0000e+00,0.0000e+00,4.2429e-03
5.15,0,0,0.0000e+00,0.0000e+00,3.6062e-03
5.25,0,0,0.0000e+00,0.0000e+00,3.0636e-03
5.35,0,0,0.0000e+00,0.0000e+00,2.6011e-03
5.45,0,0,0.0000e+00,0.0000e+00,2.2069e-03
5.55,0,0,0.0000e+00,0.0000e+00,1.8710e-03
5.65,0,0,0.0000e+00,0.0000e+00,1.5846e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.3406e-03
5.85,0,0,0.0000e+00,0.0000e+00,1.1326e-03
5.95,0,0,0.0000e+00,0.0000e+00,9.5532e-04
6.05,0,0,0.0000e+00,0.0000e+00,8.0423e-04
6.15,0,0,0.0000e+00,0.0000e+00,6.7546e-04
6.25,0,0,0.0000e+00,0.0000e+00,5.6571e-04
6.35,0,0,0.0000e+00,0.0000e+00,4.7217e-04
6.45,0,0,0.0000e+00,0.0000e+00,3.9244e-04
6.55,0,0,0.0000e+00,0.0000e+00,3.2449e-04
6.65,0,0,0.0000e+00,0.0000e+00,2.6658e-04
6.75,0,0,0.0000e+00,0.0000e+00,2.1722e-04
6.85,0,0,0.0000e+00,0.0000e+00,1.7515e-04
6.95,0,0,0.0000e+00,0.0000e+00,1.3930e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.0874e-04
7.15,0,0,0.0000e+00,0.0000e+00,8.2698e-05
7.25,0,0,0.0000e+00,0.0000e+00,6.0500e-05
7.35,0,0,0.0000e+00,0.0000e+00,4.1581e-05
7.45,0,0,0.0000e+00,0.0000e+00,2.5456e-05
7.55,0,0,0.0000e+00,0.0000e+00,1.1713e-05
7.65,0,0,0.0000e+00,0.0000e+00,0.0000e+00
