1983 10 04 0012 130.250 -24.140 10.0 3.20 MW MGO
1986 04 14 1932 131.345 -24.879 10.0 3.91 MW BMR
1986 10 27 1708 128.220 -23.110 5.0 3.02 MW MGO
1989 05 28 0255 130.755 -25.139 28.6 4.99 MW EHB
1990 01 12 0549 131.570 -25.620 5.0 3.59 MW BMR
1992 06 13 1805 130.096 -23.862 16.0 4.40 MW ISC
1992 07 27 0940 129.286 -24.284 5.0 3.21 MW MGO
1992 08 20 1845 130.075 -23.693 5.0 3.00 MW AUST
1994 12 27 1910 130.248 -23.649 5.0 3.21 MW AGSO
1996 12 06 0401 128.704 -23.405 5.0 3.14 MW MGO
1997 09 26 0810 127.560 -22.792 5.0 3.14 MW MGO
1998 06 16 1513 134.470 -23.650 7.0 3.36 MW AGSO
2000 02 08 0426 128.814 -23.911 5.0 3.28 MW ISC
2001 10 19 0418 129.547 -23.601 1.0 3.98 MW AUST
2005 08 13 1516 127.740 -22.860 10.0 3.00 MW AUST
2012 10 12 1927 127.681 -22.881 10.0 3.60 MW AUST
2013 03 15 0440 127.693 -22.755 10.0 3.63 MW AUST
2014 07 09 1555 127.320 -23.122 10.0 3.58 MW AUST
