MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.85,9,23,1.7463e-01,4.3864e-01,3.4982e-01,6.6539e+00
2.95,6,14,1.1642e-01,2.6401e-01,2.6401e-01,5.0218e+00
3.05,4,8,7.7614e-02,1.4759e-01,1.9925e-01,3.7900e+00
3.15,1,4,1.9404e-02,6.9973e-02,1.5038e-01,2.8603e+00
3.25,1,3,1.9404e-02,5.0570e-02,1.1349e-01,2.1587e+00
3.35,0,2,0.0000e+00,3.1166e-02,8.5652e-02,1.6292e+00
3.45,0,2,0.0000e+00,3.1166e-02,6.4642e-02,1.2296e+00
3.55,1,2,1.7380e-02,3.1166e-02,4.8786e-02,9.2796e-01
3.65,0,1,0.0000e+00,1.3786e-02,3.6819e-02,7.0034e-01
3.75,0,1,0.0000e+00,1.3786e-02,2.7787e-02,5.2855e-01
3.85,0,1,0.0000e+00,1.3786e-02,2.0971e-02,3.9890e-01
3.95,0,1,0.0000e+00,1.3786e-02,1.5827e-02,3.0105e-01
4.05,0,1,0.0000e+00,1.3786e-02,1.1945e-02,2.2720e-01
4.15,0,1,0.0000e+00,1.3786e-02,9.0145e-03,1.7147e-01
4.25,0,1,0.0000e+00,1.3786e-02,6.8031e-03,1.2940e-01
4.35,0,1,0.0000e+00,1.3786e-02,5.1342e-03,9.7658e-02
4.45,0,1,0.0000e+00,1.3786e-02,3.8746e-03,7.3699e-02
4.55,0,1,0.0000e+00,1.3786e-02,2.9240e-03,5.5618e-02
4.65,1,1,1.3786e-02,1.3786e-02,2.2066e-03,4.1971e-02
4.75,0,0,0.0000e+00,0.0000e+00,1.6651e-03,3.1672e-02
4.85,0,0,0.0000e+00,0.0000e+00,1.2565e-03,2.3900e-02
4.95,0,0,0.0000e+00,0.0000e+00,9.4806e-04,1.8033e-02
5.05,0,0,0.0000e+00,0.0000e+00,7.1531e-04,1.3606e-02
5.15,0,0,0.0000e+00,0.0000e+00,5.3964e-04,1.0265e-02
5.25,0,0,0.0000e+00,0.0000e+00,4.0707e-04,7.7430e-03
5.35,0,0,0.0000e+00,0.0000e+00,3.0702e-04,5.8398e-03
5.45,0,0,0.0000e+00,0.0000e+00,2.3150e-04,4.4035e-03
5.55,0,0,0.0000e+00,0.0000e+00,1.7451e-04,3.3194e-03
5.65,0,0,0.0000e+00,0.0000e+00,1.3150e-04,2.5013e-03
5.75,0,0,0.0000e+00,0.0000e+00,9.9041e-05,1.8839e-03
5.85,0,0,0.0000e+00,0.0000e+00,7.4542e-05,1.4179e-03
5.95,0,0,0.0000e+00,0.0000e+00,5.6053e-05,1.0662e-03
6.05,0,0,0.0000e+00,0.0000e+00,4.2099e-05,8.0077e-04
6.15,0,0,0.0000e+00,0.0000e+00,3.1568e-05,6.0045e-04
6.25,0,0,0.0000e+00,0.0000e+00,2.3619e-05,4.4927e-04
6.35,0,0,0.0000e+00,0.0000e+00,1.7621e-05,3.3517e-04
6.45,0,0,0.0000e+00,0.0000e+00,1.3094e-05,2.4906e-04
6.55,0,0,0.0000e+00,0.0000e+00,9.6773e-06,1.8407e-04
6.65,0,0,0.0000e+00,0.0000e+00,7.0987e-06,1.3503e-04
6.75,0,0,0.0000e+00,0.0000e+00,5.1526e-06,9.8009e-05
6.85,0,0,0.0000e+00,0.0000e+00,3.6839e-06,7.0072e-05
6.95,0,0,0.0000e+00,0.0000e+00,2.5754e-06,4.8988e-05
7.05,0,0,0.0000e+00,0.0000e+00,1.7389e-06,3.3076e-05
7.15,0,0,0.0000e+00,0.0000e+00,1.1075e-06,2.1066e-05
7.25,0,0,0.0000e+00,0.0000e+00,6.3102e-07,1.2003e-05
7.35,0,0,0.0000e+00,0.0000e+00,2.7141e-07,5.1625e-06
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
