MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,5,11,1.1755e-01,2.5860e-01,2.5860e-01
3.05,1,6,2.3509e-02,1.4105e-01,1.9517e-01
3.15,0,5,0.0000e+00,1.1755e-01,1.4729e-01
3.25,2,5,4.7018e-02,1.1755e-01,1.1116e-01
3.35,2,3,4.7018e-02,7.0527e-02,8.3896e-02
3.45,0,1,0.0000e+00,2.3509e-02,6.3317e-02
3.55,0,1,0.0000e+00,2.3509e-02,4.7786e-02
3.65,0,1,0.0000e+00,2.3509e-02,3.6064e-02
3.75,0,1,0.0000e+00,2.3509e-02,2.7218e-02
3.85,1,1,2.3509e-02,2.3509e-02,2.0541e-02
3.95,0,0,0.0000e+00,0.0000e+00,1.5503e-02
4.05,0,0,0.0000e+00,0.0000e+00,1.1700e-02
4.15,0,0,0.0000e+00,0.0000e+00,8.8297e-03
4.25,0,0,0.0000e+00,0.0000e+00,6.6637e-03
4.35,0,0,0.0000e+00,0.0000e+00,5.0289e-03
4.45,0,0,0.0000e+00,0.0000e+00,3.7952e-03
4.55,0,0,0.0000e+00,0.0000e+00,2.8641e-03
4.65,0,0,0.0000e+00,0.0000e+00,2.1613e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.6310e-03
4.85,0,0,0.0000e+00,0.0000e+00,1.2307e-03
4.95,0,0,0.0000e+00,0.0000e+00,9.2864e-04
5.05,0,0,0.0000e+00,0.0000e+00,7.0065e-04
5.15,0,0,0.0000e+00,0.0000e+00,5.2859e-04
5.25,0,0,0.0000e+00,0.0000e+00,3.9873e-04
5.35,0,0,0.0000e+00,0.0000e+00,3.0072e-04
5.45,0,0,0.0000e+00,0.0000e+00,2.2676e-04
5.55,0,0,0.0000e+00,0.0000e+00,1.7094e-04
5.65,0,0,0.0000e+00,0.0000e+00,1.2881e-04
5.75,0,0,0.0000e+00,0.0000e+00,9.7011e-05
5.85,0,0,0.0000e+00,0.0000e+00,7.3015e-05
5.95,0,0,0.0000e+00,0.0000e+00,5.4904e-05
6.05,0,0,0.0000e+00,0.0000e+00,4.1236e-05
6.15,0,0,0.0000e+00,0.0000e+00,3.0921e-05
6.25,0,0,0.0000e+00,0.0000e+00,2.3135e-05
6.35,0,0,0.0000e+00,0.0000e+00,1.7260e-05
6.45,0,0,0.0000e+00,0.0000e+00,1.2826e-05
6.55,0,0,0.0000e+00,0.0000e+00,9.4790e-06
6.65,0,0,0.0000e+00,0.0000e+00,6.9532e-06
6.75,0,0,0.0000e+00,0.0000e+00,5.0470e-06
6.85,0,0,0.0000e+00,0.0000e+00,3.6084e-06
6.95,0,0,0.0000e+00,0.0000e+00,2.5227e-06
7.05,0,0,0.0000e+00,0.0000e+00,1.7033e-06
7.15,0,0,0.0000e+00,0.0000e+00,1.0848e-06
7.25,0,0,0.0000e+00,0.0000e+00,6.1809e-07
7.35,0,0,0.0000e+00,0.0000e+00,2.6584e-07
7.45,0,0,0.0000e+00,0.0000e+00,-1.9978e-21
