MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.05,8,29,2.0759e-01,7.4270e-01,5.5259e-01,1.0316e-02
3.15,6,21,1.5570e-01,5.3511e-01,4.4078e-01,8.2285e-03
3.25,3,15,7.7848e-02,3.7941e-01,3.5159e-01,6.5635e-03
3.35,3,12,7.7848e-02,3.0156e-01,2.8045e-01,5.2354e-03
3.45,1,9,2.5949e-02,2.2372e-01,2.2370e-01,4.1760e-03
3.55,4,8,1.0380e-01,1.9777e-01,1.7843e-01,3.3310e-03
3.65,1,4,2.5949e-02,9.3971e-02,1.4233e-01,2.6570e-03
3.75,0,3,0.0000e+00,6.8022e-02,1.1353e-01,2.1193e-03
3.85,1,3,2.5949e-02,6.8022e-02,9.0552e-02,1.6904e-03
3.95,1,2,2.1036e-02,4.2073e-02,7.2227e-02,1.3483e-03
4.05,0,1,0.0000e+00,2.1036e-02,5.7609e-02,1.0754e-03
4.15,0,1,0.0000e+00,2.1036e-02,4.5949e-02,8.5778e-04
4.25,0,1,0.0000e+00,2.1036e-02,3.6649e-02,6.8416e-04
4.35,0,1,0.0000e+00,2.1036e-02,2.9230e-02,5.4567e-04
4.45,1,1,2.1036e-02,2.1036e-02,2.3312e-02,4.3519e-04
4.55,0,0,0.0000e+00,0.0000e+00,1.8592e-02,3.4708e-04
4.65,0,0,0.0000e+00,0.0000e+00,1.4827e-02,2.7679e-04
4.75,0,0,0.0000e+00,0.0000e+00,1.1823e-02,2.2072e-04
4.85,0,0,0.0000e+00,0.0000e+00,9.4277e-03,1.7600e-04
4.95,0,0,0.0000e+00,0.0000e+00,7.5167e-03,1.4032e-04
5.05,0,0,0.0000e+00,0.0000e+00,5.9924e-03,1.1187e-04
5.15,0,0,0.0000e+00,0.0000e+00,4.7765e-03,8.9168e-05
5.25,0,0,0.0000e+00,0.0000e+00,3.8067e-03,7.1063e-05
5.35,0,0,0.0000e+00,0.0000e+00,3.0330e-03,5.6620e-05
5.45,0,0,0.0000e+00,0.0000e+00,2.4159e-03,4.5101e-05
5.55,0,0,0.0000e+00,0.0000e+00,1.9237e-03,3.5912e-05
5.65,0,0,0.0000e+00,0.0000e+00,1.5311e-03,2.8582e-05
5.75,0,0,0.0000e+00,0.0000e+00,1.2179e-03,2.2735e-05
5.85,0,0,0.0000e+00,0.0000e+00,9.6804e-04,1.8071e-05
5.95,0,0,0.0000e+00,0.0000e+00,7.6876e-04,1.4351e-05
6.05,0,0,0.0000e+00,0.0000e+00,6.0981e-04,1.1384e-05
6.15,0,0,0.0000e+00,0.0000e+00,4.8302e-04,9.0170e-06
6.25,0,0,0.0000e+00,0.0000e+00,3.8188e-04,7.1289e-06
6.35,0,0,0.0000e+00,0.0000e+00,3.0121e-04,5.6229e-06
6.45,0,0,0.0000e+00,0.0000e+00,2.3686e-04,4.4216e-06
6.55,0,0,0.0000e+00,0.0000e+00,1.8553e-04,3.4634e-06
6.65,0,0,0.0000e+00,0.0000e+00,1.4458e-04,2.6990e-06
6.75,0,0,0.0000e+00,0.0000e+00,1.1192e-04,2.0893e-06
6.85,0,0,0.0000e+00,0.0000e+00,8.5870e-05,1.6030e-06
6.95,0,0,0.0000e+00,0.0000e+00,6.5090e-05,1.2151e-06
7.05,0,0,0.0000e+00,0.0000e+00,4.8514e-05,9.0566e-07
7.15,0,0,0.0000e+00,0.0000e+00,3.5292e-05,6.5883e-07
7.25,0,0,0.0000e+00,0.0000e+00,2.4745e-05,4.6195e-07
7.35,0,0,0.0000e+00,0.0000e+00,1.6333e-05,3.0490e-07
7.45,0,0,0.0000e+00,0.0000e+00,9.6223e-06,1.7963e-07
7.55,0,0,0.0000e+00,0.0000e+00,4.2697e-06,7.9706e-08
7.65,0,0,0.0000e+00,0.0000e+00,-3.3637e-20,-6.2794e-22
