MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.85,11,65,2.1344e-01,1.2013e+00,1.2661e+00,3.3863e+00
2.95,10,54,1.9404e-01,9.8789e-01,9.8788e-01,2.6420e+00
3.05,4,44,7.7614e-02,7.9385e-01,7.7076e-01,2.0614e+00
3.15,5,40,9.7018e-02,7.1624e-01,6.0137e-01,1.6083e+00
3.25,3,35,5.8211e-02,6.1922e-01,4.6920e-01,1.2548e+00
3.35,9,32,1.7463e-01,5.6101e-01,3.6608e-01,9.7906e-01
3.45,4,23,6.9521e-02,3.8638e-01,2.8562e-01,7.6388e-01
3.55,7,19,1.2166e-01,3.1686e-01,2.2284e-01,5.9599e-01
3.65,3,12,5.2141e-02,1.9520e-01,1.7387e-01,4.6500e-01
3.75,1,9,1.7380e-02,1.4306e-01,1.3565e-01,3.6279e-01
3.85,0,8,0.0000e+00,1.2568e-01,1.0584e-01,2.8305e-01
3.95,2,8,3.4760e-02,1.2568e-01,8.2572e-02,2.2084e-01
4.05,0,6,0.0000e+00,9.0915e-02,6.4422e-02,1.7229e-01
4.15,2,6,3.3038e-02,9.0915e-02,5.0261e-02,1.3442e-01
4.25,0,4,0.0000e+00,5.7877e-02,3.9212e-02,1.0487e-01
4.35,1,4,1.6519e-02,5.7877e-02,3.0591e-02,8.1814e-02
4.45,0,3,0.0000e+00,4.1358e-02,2.3865e-02,6.3825e-02
4.55,0,3,0.0000e+00,4.1358e-02,1.8617e-02,4.9790e-02
4.65,1,3,1.3786e-02,4.1358e-02,1.4522e-02,3.8839e-02
4.75,0,2,0.0000e+00,2.7572e-02,1.1327e-02,3.0295e-02
4.85,1,2,1.3786e-02,2.7572e-02,8.8349e-03,2.3629e-02
4.95,1,1,1.3786e-02,1.3786e-02,6.8902e-03,1.8427e-02
5.05,0,0,0.0000e+00,0.0000e+00,5.3728e-03,1.4369e-02
5.15,0,0,0.0000e+00,0.0000e+00,4.1889e-03,1.1203e-02
5.25,0,0,0.0000e+00,0.0000e+00,3.2653e-03,8.7328e-03
5.35,0,0,0.0000e+00,0.0000e+00,2.5446e-03,6.8053e-03
5.45,0,0,0.0000e+00,0.0000e+00,1.9823e-03,5.3015e-03
5.55,0,0,0.0000e+00,0.0000e+00,1.5436e-03,4.1282e-03
5.65,0,0,0.0000e+00,0.0000e+00,1.2013e-03,3.2127e-03
5.75,0,0,0.0000e+00,0.0000e+00,9.3418e-04,2.4984e-03
5.85,0,0,0.0000e+00,0.0000e+00,7.2580e-04,1.9411e-03
5.95,0,0,0.0000e+00,0.0000e+00,5.6323e-04,1.5063e-03
6.05,0,0,0.0000e+00,0.0000e+00,4.3638e-04,1.1671e-03
6.15,0,0,0.0000e+00,0.0000e+00,3.3741e-04,9.0238e-04
6.25,0,0,0.0000e+00,0.0000e+00,2.6019e-04,6.9586e-04
6.35,0,0,0.0000e+00,0.0000e+00,1.9994e-04,5.3473e-04
6.45,0,0,0.0000e+00,0.0000e+00,1.5293e-04,4.0901e-04
6.55,0,0,0.0000e+00,0.0000e+00,1.1625e-04,3.1092e-04
6.65,0,0,0.0000e+00,0.0000e+00,8.7638e-05,2.3438e-04
6.75,0,0,0.0000e+00,0.0000e+00,6.5312e-05,1.7467e-04
6.85,0,0,0.0000e+00,0.0000e+00,4.7892e-05,1.2808e-04
6.95,0,0,0.0000e+00,0.0000e+00,3.4300e-05,9.1734e-05
7.05,0,0,0.0000e+00,0.0000e+00,2.3696e-05,6.3373e-05
7.15,0,0,0.0000e+00,0.0000e+00,1.5422e-05,4.1245e-05
7.25,0,0,0.0000e+00,0.0000e+00,8.9665e-06,2.3980e-05
7.35,0,0,0.0000e+00,0.0000e+00,3.9298e-06,1.0510e-05
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
