MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.05,8.5316e-01,1.3110e-01
3.15,6.6931e-01,1.0285e-01
3.25,5.2508e-01,8.0686e-02
3.35,4.1193e-01,6.3299e-02
3.45,3.2316e-01,4.9658e-02
3.5500000000000003,2.5352e-01,3.8957e-02
3.6500000000000004,1.9888e-01,3.0562e-02
3.7500000000000004,1.5602e-01,2.3975e-02
3.8500000000000005,1.2240e-01,1.8808e-02
3.9500000000000006,9.6019e-02,1.4755e-02
4.050000000000001,7.5325e-02,1.1575e-02
4.15,5.9089e-02,9.0800e-03
4.250000000000001,4.6353e-02,7.1228e-03
4.350000000000001,3.6361e-02,5.5873e-03
4.450000000000001,2.8522e-02,4.3828e-03
4.550000000000001,2.2372e-02,3.4378e-03
4.650000000000001,1.7547e-02,2.6964e-03
4.750000000000002,1.3762e-02,2.1148e-03
4.850000000000001,1.0793e-02,1.6585e-03
4.950000000000001,8.4634e-03,1.3005e-03
5.050000000000002,6.6359e-03,1.0197e-03
5.150000000000002,5.2022e-03,7.9940e-04
5.250000000000002,4.0774e-03,6.2656e-04
5.350000000000001,3.1951e-03,4.9097e-04
5.450000000000002,2.5028e-03,3.8459e-04
5.5500000000000025,1.9597e-03,3.0114e-04
5.650000000000002,1.5337e-03,2.3567e-04
5.750000000000002,1.1994e-03,1.8431e-04
5.850000000000002,9.3723e-04,1.4402e-04
5.950000000000003,7.3152e-04,1.1241e-04
6.0500000000000025,5.7013e-04,8.7609e-05
6.150000000000002,4.4353e-04,6.8154e-05
6.250000000000003,3.4420e-04,5.2892e-05
6.350000000000003,2.6628e-04,4.0918e-05
6.450000000000003,2.0515e-04,3.1524e-05
6.5500000000000025,1.5719e-04,2.4155e-05
6.650000000000003,1.1957e-04,1.8373e-05
6.7500000000000036,9.0050e-05,1.3838e-05
6.850000000000003,6.6894e-05,1.0279e-05
6.950000000000003,4.8728e-05,7.4879e-06
7.050000000000003,3.4477e-05,5.2979e-06
7.150000000000003,2.3297e-05,3.5799e-06
7.2500000000000036,1.4525e-05,2.2320e-06
7.350000000000004,7.6442e-06,1.1746e-06
7.450000000000004,2.2458e-06,3.4511e-07
