MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,0,2,0.0000e+00,5.3281e-02,2.1126e-02,3.2464e-03
3.0500000000000003,1,2,2.6641e-02,5.3281e-02,1.6033e-02,2.4637e-03
3.1500000000000004,0,1,0.0000e+00,2.6641e-02,1.2168e-02,1.8698e-03
3.2500000000000004,0,1,0.0000e+00,2.6641e-02,9.2346e-03,1.4190e-03
3.3500000000000005,1,1,2.6641e-02,2.6641e-02,7.0084e-03,1.0769e-03
3.4500000000000006,0,0,0.0000e+00,0.0000e+00,5.3188e-03,8.1732e-04
3.5500000000000007,0,0,0.0000e+00,0.0000e+00,4.0366e-03,6.2028e-04
3.650000000000001,0,0,0.0000e+00,0.0000e+00,3.0634e-03,4.7074e-04
3.750000000000001,0,0,0.0000e+00,0.0000e+00,2.3249e-03,3.5726e-04
3.850000000000001,0,0,0.0000e+00,0.0000e+00,1.7644e-03,2.7113e-04
3.950000000000001,0,0,0.0000e+00,0.0000e+00,1.3390e-03,2.0576e-04
4.050000000000001,0,0,0.0000e+00,0.0000e+00,1.0162e-03,1.5616e-04
4.150000000000001,0,0,0.0000e+00,0.0000e+00,7.7121e-04,1.1851e-04
4.250000000000002,0,0,0.0000e+00,0.0000e+00,5.8527e-04,8.9936e-05
4.350000000000001,0,0,0.0000e+00,0.0000e+00,4.4416e-04,6.8252e-05
4.450000000000001,0,0,0.0000e+00,0.0000e+00,3.3706e-04,5.1795e-05
4.550000000000002,0,0,0.0000e+00,0.0000e+00,2.5579e-04,3.9305e-05
4.650000000000002,0,0,0.0000e+00,0.0000e+00,1.9410e-04,2.9827e-05
4.750000000000002,0,0,0.0000e+00,0.0000e+00,1.4729e-04,2.2633e-05
4.850000000000001,0,0,0.0000e+00,0.0000e+00,1.1176e-04,1.7174e-05
4.950000000000002,0,0,0.0000e+00,0.0000e+00,8.4798e-05,1.3030e-05
5.0500000000000025,0,0,0.0000e+00,0.0000e+00,6.4334e-05,9.8859e-06
5.150000000000002,0,0,0.0000e+00,0.0000e+00,4.8804e-05,7.4995e-06
5.250000000000002,0,0,0.0000e+00,0.0000e+00,3.7018e-05,5.6884e-06
5.350000000000002,0,0,0.0000e+00,0.0000e+00,2.8073e-05,4.3139e-06
5.450000000000003,0,0,0.0000e+00,0.0000e+00,2.1285e-05,3.2708e-06
5.5500000000000025,0,0,0.0000e+00,0.0000e+00,1.6133e-05,2.4791e-06
5.650000000000002,0,0,0.0000e+00,0.0000e+00,1.2223e-05,1.8783e-06
5.750000000000003,0,0,0.0000e+00,0.0000e+00,9.2558e-06,1.4223e-06
5.850000000000003,0,0,0.0000e+00,0.0000e+00,7.0037e-06,1.0762e-06
5.950000000000003,0,0,0.0000e+00,0.0000e+00,5.2946e-06,8.1360e-07
6.0500000000000025,0,0,0.0000e+00,0.0000e+00,3.9975e-06,6.1428e-07
6.150000000000003,0,0,0.0000e+00,0.0000e+00,3.0131e-06,4.6301e-07
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,2.2661e-06,3.4821e-07
6.350000000000003,0,0,0.0000e+00,0.0000e+00,1.6991e-06,2.6109e-07
6.450000000000003,0,0,0.0000e+00,0.0000e+00,1.2688e-06,1.9497e-07
6.550000000000003,0,0,0.0000e+00,0.0000e+00,9.4220e-07,1.4478e-07
6.650000000000004,0,0,0.0000e+00,0.0000e+00,6.9436e-07,1.0670e-07
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,5.0627e-07,7.7796e-08
6.850000000000003,0,0,0.0000e+00,0.0000e+00,3.6352e-07,5.5861e-08
6.950000000000004,0,0,0.0000e+00,0.0000e+00,2.5519e-07,3.9213e-08
7.050000000000003,0,0,0.0000e+00,0.0000e+00,1.7297e-07,2.6579e-08
7.150000000000004,0,0,0.0000e+00,0.0000e+00,1.1057e-07,1.6991e-08
7.250000000000004,0,0,0.0000e+00,0.0000e+00,6.3215e-08,9.7139e-09
7.350000000000004,0,0,0.0000e+00,0.0000e+00,2.7275e-08,4.1913e-09
7.450000000000004,0,0,0.0000e+00,0.0000e+00,-2.0973e-22,-3.2228e-23
