MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,131,731,2.5419e+00,1.4029e+01,1.4029e+01
3.05,199,600,3.8613e+00,1.1487e+01,1.0578e+01
3.15,80,401,1.5523e+00,7.6260e+00,7.9758e+00
3.25,71,321,1.3777e+00,6.0737e+00,6.0138e+00
3.35,74,250,1.4359e+00,4.6960e+00,4.5344e+00
3.45,33,176,6.4032e-01,3.2602e+00,3.4190e+00
3.55,35,143,6.7913e-01,2.6198e+00,2.5779e+00
3.65,26,108,5.0449e-01,1.9407e+00,1.9437e+00
3.75,21,82,4.0748e-01,1.4362e+00,1.4656e+00
3.85,12,61,2.3284e-01,1.0287e+00,1.1050e+00
3.95,6,49,1.1642e-01,7.9590e-01,8.3318e-01
4.05,12,43,1.9823e-01,6.7948e-01,6.2820e-01
4.15,13,31,2.1475e-01,4.8125e-01,4.7365e-01
4.25,1,18,1.6519e-02,2.6650e-01,3.5712e-01
4.35,5,17,8.2594e-02,2.4998e-01,2.6925e-01
4.45,3,12,4.9557e-02,1.6739e-01,2.0300e-01
4.55,4,9,5.5144e-02,1.1783e-01,1.5304e-01
4.65,1,5,1.3786e-02,6.2689e-02,1.1538e-01
4.75,2,4,2.7572e-02,4.8903e-02,8.6976e-02
4.85,0,2,0.0000e+00,2.1331e-02,6.5562e-02
4.95,0,2,0.0000e+00,2.1331e-02,4.9416e-02
5.05,1,2,1.3786e-02,2.1331e-02,3.7241e-02
5.15,0,1,0.0000e+00,7.5451e-03,2.8062e-02
5.25,0,1,0.0000e+00,7.5451e-03,2.1140e-02
5.35,0,1,0.0000e+00,7.5451e-03,1.5921e-02
5.45,0,1,0.0000e+00,7.5451e-03,1.1986e-02
5.55,0,1,0.0000e+00,7.5451e-03,9.0194e-03
5.65,0,1,0.0000e+00,7.5451e-03,6.7823e-03
5.75,1,1,7.5451e-03,7.5451e-03,5.0955e-03
5.85,0,0,0.0000e+00,0.0000e+00,3.8236e-03
5.95,0,0,0.0000e+00,0.0000e+00,2.8646e-03
6.05,0,0,0.0000e+00,0.0000e+00,2.1415e-03
6.15,0,0,0.0000e+00,0.0000e+00,1.5963e-03
6.25,0,0,0.0000e+00,0.0000e+00,1.1852e-03
6.35,0,0,0.0000e+00,0.0000e+00,8.7525e-04
6.45,0,0,0.0000e+00,0.0000e+00,6.4153e-04
6.55,0,0,0.0000e+00,0.0000e+00,4.6531e-04
6.65,0,0,0.0000e+00,0.0000e+00,3.3243e-04
6.75,0,0,0.0000e+00,0.0000e+00,2.3225e-04
6.85,0,0,0.0000e+00,0.0000e+00,1.5671e-04
6.95,0,0,0.0000e+00,0.0000e+00,9.9747e-05
7.05,0,0,0.0000e+00,0.0000e+00,5.6799e-05
7.15,0,0,0.0000e+00,0.0000e+00,2.4417e-05
7.25,0,0,0.0000e+00,0.0000e+00,0.0000e+00
