MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.95,4,26,7.7614e-02,5.0161e-01,5.0161e-01,6.9749e-02
3.05,12,22,2.3284e-01,4.2399e-01,3.7681e-01,5.2396e-02
3.15,0,10,0.0000e+00,1.9115e-01,2.8306e-01,3.9360e-02
3.25,2,10,3.8807e-02,1.9115e-01,2.1264e-01,2.9568e-02
3.35,1,8,1.9404e-02,1.5234e-01,1.5974e-01,2.2211e-02
3.45,0,7,0.0000e+00,1.3294e-01,1.1999e-01,1.6685e-02
3.55,1,7,1.9404e-02,1.3294e-01,9.0140e-02,1.2534e-02
3.65,3,6,5.8211e-02,1.1354e-01,6.7714e-02,9.4157e-03
3.75,1,3,1.9404e-02,5.5326e-02,5.0867e-02,7.0731e-03
3.85,0,2,0.0000e+00,3.5922e-02,3.8211e-02,5.3133e-03
3.95,1,2,1.9404e-02,3.5922e-02,2.8704e-02,3.9914e-03
4.05,1,1,1.6519e-02,1.6519e-02,2.1563e-02,2.9983e-03
4.15,0,0,0.0000e+00,0.0000e+00,1.6198e-02,2.2523e-03
4.25,0,0,0.0000e+00,0.0000e+00,1.2167e-02,1.6919e-03
4.35,0,0,0.0000e+00,0.0000e+00,9.1400e-03,1.2709e-03
4.45,0,0,0.0000e+00,0.0000e+00,6.8657e-03,9.5468e-04
4.55,0,0,0.0000e+00,0.0000e+00,5.1572e-03,7.1712e-04
4.65,0,0,0.0000e+00,0.0000e+00,3.8738e-03,5.3866e-04
4.75,0,0,0.0000e+00,0.0000e+00,2.9097e-03,4.0460e-04
4.85,0,0,0.0000e+00,0.0000e+00,2.1855e-03,3.0390e-04
4.95,0,0,0.0000e+00,0.0000e+00,1.6414e-03,2.2824e-04
5.05,0,0,0.0000e+00,0.0000e+00,1.2327e-03,1.7141e-04
5.15,0,0,0.0000e+00,0.0000e+00,9.2573e-04,1.2872e-04
5.25,0,0,0.0000e+00,0.0000e+00,6.9509e-04,9.6653e-05
5.35,0,0,0.0000e+00,0.0000e+00,5.2184e-04,7.2562e-05
5.45,0,0,0.0000e+00,0.0000e+00,3.9169e-04,5.4465e-05
5.55,0,0,0.0000e+00,0.0000e+00,2.9392e-04,4.0870e-05
5.65,0,0,0.0000e+00,0.0000e+00,2.2047e-04,3.0657e-05
5.75,0,0,0.0000e+00,0.0000e+00,1.6530e-04,2.2985e-05
5.85,0,0,0.0000e+00,0.0000e+00,1.2386e-04,1.7222e-05
5.95,0,0,0.0000e+00,0.0000e+00,9.2721e-05,1.2893e-05
6.05,0,0,0.0000e+00,0.0000e+00,6.9333e-05,9.6408e-06
6.15,0,0,0.0000e+00,0.0000e+00,5.1763e-05,7.1977e-06
6.25,0,0,0.0000e+00,0.0000e+00,3.8565e-05,5.3625e-06
6.35,0,0,0.0000e+00,0.0000e+00,2.8650e-05,3.9838e-06
6.45,0,0,0.0000e+00,0.0000e+00,2.1202e-05,2.9481e-06
6.55,0,0,0.0000e+00,0.0000e+00,1.5607e-05,2.1701e-06
6.65,0,0,0.0000e+00,0.0000e+00,1.1404e-05,1.5857e-06
6.75,0,0,0.0000e+00,0.0000e+00,8.2464e-06,1.1467e-06
6.85,0,0,0.0000e+00,0.0000e+00,5.8746e-06,8.1687e-07
6.95,0,0,0.0000e+00,0.0000e+00,4.0928e-06,5.6911e-07
7.05,0,0,0.0000e+00,0.0000e+00,2.7544e-06,3.8300e-07
7.15,0,0,0.0000e+00,0.0000e+00,1.7489e-06,2.4319e-07
7.25,0,0,0.0000e+00,0.0000e+00,9.9362e-07,1.3816e-07
7.35,0,0,0.0000e+00,0.0000e+00,4.2623e-07,5.9268e-08
7.45,0,0,0.0000e+00,0.0000e+00,-3.1434e-21,-4.3709e-22
