MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.05,19,108,4.9304e-01,2.6935e+00,2.7586e+00
3.15,13,89,3.3734e-01,2.2005e+00,2.2003e+00
3.25,7,76,1.8164e-01,1.8631e+00,1.7550e+00
3.35,18,69,4.6709e-01,1.6815e+00,1.3998e+00
3.45,10,51,2.5949e-01,1.2144e+00,1.1165e+00
3.55,9,41,2.3354e-01,9.5489e-01,8.9053e-01
3.65,6,32,1.5570e-01,7.2135e-01,7.1028e-01
3.75,5,26,1.2975e-01,5.6566e-01,5.6652e-01
3.85,5,21,1.2975e-01,4.3591e-01,4.5184e-01
3.95,1,16,2.1036e-02,3.0616e-01,3.6037e-01
4.05,1,15,2.1036e-02,2.8513e-01,2.8742e-01
4.15,3,14,6.3109e-02,2.6409e-01,2.2923e-01
4.25,1,11,2.1036e-02,2.0098e-01,1.8281e-01
4.35,2,10,4.2073e-02,1.7995e-01,1.4579e-01
4.45,0,8,0.0000e+00,1.3787e-01,1.1626e-01
4.55,3,8,5.2141e-02,1.3787e-01,9.2703e-02
4.65,2,5,3.4760e-02,8.5733e-02,7.3916e-02
4.75,1,3,1.7380e-02,5.0973e-02,5.8931e-02
4.85,0,2,0.0000e+00,3.3593e-02,4.6978e-02
4.95,0,2,0.0000e+00,3.3593e-02,3.7444e-02
5.05,0,2,0.0000e+00,3.3593e-02,2.9840e-02
5.15,0,2,0.0000e+00,3.3593e-02,2.3775e-02
5.25,0,2,0.0000e+00,3.3593e-02,1.8937e-02
5.35,1,2,1.6796e-02,3.3593e-02,1.5078e-02
5.45,0,1,0.0000e+00,1.6796e-02,1.2000e-02
5.55,0,1,0.0000e+00,1.6796e-02,9.5446e-03
5.65,0,1,0.0000e+00,1.6796e-02,7.5863e-03
5.75,0,1,0.0000e+00,1.6796e-02,6.0244e-03
5.85,1,1,1.6796e-02,1.6796e-02,4.7786e-03
5.95,0,0,0.0000e+00,0.0000e+00,3.7848e-03
6.05,0,0,0.0000e+00,0.0000e+00,2.9922e-03
6.15,0,0,0.0000e+00,0.0000e+00,2.3600e-03
6.25,0,0,0.0000e+00,0.0000e+00,1.8557e-03
6.35,0,0,0.0000e+00,0.0000e+00,1.4535e-03
6.45,0,0,0.0000e+00,0.0000e+00,1.1327e-03
6.55,0,0,0.0000e+00,0.0000e+00,8.7679e-04
6.65,0,0,0.0000e+00,0.0000e+00,6.7268e-04
6.75,0,0,0.0000e+00,0.0000e+00,5.0987e-04
6.85,0,0,0.0000e+00,0.0000e+00,3.8002e-04
6.95,0,0,0.0000e+00,0.0000e+00,2.7644e-04
7.05,0,0,0.0000e+00,0.0000e+00,1.9382e-04
7.15,0,0,0.0000e+00,0.0000e+00,1.2793e-04
7.25,0,0,0.0000e+00,0.0000e+00,7.5364e-05
7.35,0,0,0.0000e+00,0.0000e+00,3.3440e-05
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00
