MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
2.85,78,314,1.5135e+00,5.9935e+00,5.9361e+00,3.1503e+00
2.95,52,236,1.0090e+00,4.4800e+00,4.4800e+00,2.3776e+00
3.05,61,184,1.1836e+00,3.4711e+00,3.3811e+00,1.7944e+00
3.15,46,123,8.9257e-01,2.2874e+00,2.5518e+00,1.3542e+00
3.25,21,77,4.0748e-01,1.3949e+00,1.9258e+00,1.0220e+00
3.35,14,56,2.7165e-01,9.8739e-01,1.4534e+00,7.7135e-01
3.45,5,42,8.6901e-02,7.1574e-01,1.0969e+00,5.8214e-01
3.55,14,37,2.4332e-01,6.2884e-01,8.2786e-01,4.3935e-01
3.65,5,23,8.6901e-02,3.8552e-01,6.2479e-01,3.3158e-01
3.75,9,18,1.5642e-01,2.9862e-01,4.7153e-01,2.5024e-01
3.85,1,9,1.7380e-02,1.4219e-01,3.5586e-01,1.8886e-01
3.95,1,8,1.7380e-02,1.2481e-01,2.6857e-01,1.4253e-01
4.05,0,7,0.0000e+00,1.0743e-01,2.0269e-01,1.0757e-01
4.15,3,7,4.9557e-02,1.0743e-01,1.5297e-01,8.1181e-02
4.25,0,4,0.0000e+00,5.7877e-02,1.1544e-01,6.1266e-02
4.35,1,4,1.6519e-02,5.7877e-02,8.7123e-02,4.6236e-02
4.45,0,3,0.0000e+00,4.1358e-02,6.5749e-02,3.4893e-02
4.55,2,3,2.7572e-02,4.1358e-02,4.9618e-02,2.6332e-02
4.65,1,1,1.3786e-02,1.3786e-02,3.7444e-02,1.9871e-02
4.75,0,0,0.0000e+00,0.0000e+00,2.8256e-02,1.4995e-02
4.85,0,0,0.0000e+00,0.0000e+00,2.1321e-02,1.1315e-02
4.95,0,0,0.0000e+00,0.0000e+00,1.6088e-02,8.5379e-03
5.05,0,0,0.0000e+00,0.0000e+00,1.2138e-02,6.4418e-03
5.15,0,0,0.0000e+00,0.0000e+00,9.1574e-03,4.8599e-03
5.25,0,0,0.0000e+00,0.0000e+00,6.9077e-03,3.6659e-03
5.35,0,0,0.0000e+00,0.0000e+00,5.2098e-03,2.7649e-03
5.45,0,0,0.0000e+00,0.0000e+00,3.9284e-03,2.0848e-03
5.55,0,0,0.0000e+00,0.0000e+00,2.9613e-03,1.5716e-03
5.65,0,0,0.0000e+00,0.0000e+00,2.2315e-03,1.1843e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.6806e-03,8.9192e-04
5.85,0,0,0.0000e+00,0.0000e+00,1.2649e-03,6.7130e-04
5.95,0,0,0.0000e+00,0.0000e+00,9.5117e-04,5.0479e-04
6.05,0,0,0.0000e+00,0.0000e+00,7.1438e-04,3.7913e-04
6.15,0,0,0.0000e+00,0.0000e+00,5.3568e-04,2.8429e-04
6.25,0,0,0.0000e+00,0.0000e+00,4.0080e-04,2.1271e-04
6.35,0,0,0.0000e+00,0.0000e+00,2.9902e-04,1.5869e-04
6.45,0,0,0.0000e+00,0.0000e+00,2.2219e-04,1.1792e-04
6.55,0,0,0.0000e+00,0.0000e+00,1.6422e-04,8.7150e-05
6.65,0,0,0.0000e+00,0.0000e+00,1.2046e-04,6.3928e-05
6.75,0,0,0.0000e+00,0.0000e+00,8.7436e-05,4.6403e-05
6.85,0,0,0.0000e+00,0.0000e+00,6.2513e-05,3.3176e-05
6.95,0,0,0.0000e+00,0.0000e+00,4.3703e-05,2.3194e-05
7.05,0,0,0.0000e+00,0.0000e+00,2.9508e-05,1.5660e-05
7.15,0,0,0.0000e+00,0.0000e+00,1.8794e-05,9.9739e-06
7.25,0,0,0.0000e+00,0.0000e+00,1.0708e-05,5.6828e-06
7.35,0,0,0.0000e+00,0.0000e+00,4.6056e-06,2.4442e-06
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
