MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.05,2,6,5.1898e-02,1.5078e-01,1.5078e-01
3.15,1,4,2.5949e-02,9.8884e-02,1.1327e-01
3.25,0,3,0.0000e+00,7.2935e-02,8.5088e-02
3.35,1,3,2.5949e-02,7.2935e-02,6.3918e-02
3.45,0,2,0.0000e+00,4.6986e-02,4.8016e-02
3.55,0,2,0.0000e+00,4.6986e-02,3.6069e-02
3.65,0,2,0.0000e+00,4.6986e-02,2.7095e-02
3.75,1,2,2.5949e-02,4.6986e-02,2.0354e-02
3.85,0,1,0.0000e+00,2.1036e-02,1.5290e-02
3.95,0,1,0.0000e+00,2.1036e-02,1.1486e-02
4.05,0,1,0.0000e+00,2.1036e-02,8.6279e-03
4.15,1,1,2.1036e-02,2.1036e-02,6.4811e-03
4.25,0,0,0.0000e+00,0.0000e+00,4.8684e-03
4.35,0,0,0.0000e+00,0.0000e+00,3.6570e-03
4.45,0,0,0.0000e+00,0.0000e+00,2.7469e-03
4.55,0,0,0.0000e+00,0.0000e+00,2.0633e-03
4.65,0,0,0.0000e+00,0.0000e+00,1.5497e-03
4.75,0,0,0.0000e+00,0.0000e+00,1.1639e-03
4.85,0,0,0.0000e+00,0.0000e+00,8.7413e-04
4.95,0,0,0.0000e+00,0.0000e+00,6.5643e-04
5.05,0,0,0.0000e+00,0.0000e+00,4.9289e-04
5.15,0,0,0.0000e+00,0.0000e+00,3.7003e-04
5.25,0,0,0.0000e+00,0.0000e+00,2.7774e-04
5.35,0,0,0.0000e+00,0.0000e+00,2.0842e-04
5.45,0,0,0.0000e+00,0.0000e+00,1.5634e-04
5.55,0,0,0.0000e+00,0.0000e+00,1.1721e-04
5.65,0,0,0.0000e+00,0.0000e+00,8.7826e-05
5.75,0,0,0.0000e+00,0.0000e+00,6.5748e-05
5.85,0,0,0.0000e+00,0.0000e+00,4.9164e-05
5.95,0,0,0.0000e+00,0.0000e+00,3.6705e-05
6.05,0,0,0.0000e+00,0.0000e+00,2.7346e-05
6.15,0,0,0.0000e+00,0.0000e+00,2.0315e-05
6.25,0,0,0.0000e+00,0.0000e+00,1.5034e-05
6.35,0,0,0.0000e+00,0.0000e+00,1.1067e-05
6.45,0,0,0.0000e+00,0.0000e+00,8.0863e-06
6.55,0,0,0.0000e+00,0.0000e+00,5.8475e-06
6.65,0,0,0.0000e+00,0.0000e+00,4.1656e-06
6.75,0,0,0.0000e+00,0.0000e+00,2.9022e-06
6.85,0,0,0.0000e+00,0.0000e+00,1.9531e-06
6.95,0,0,0.0000e+00,0.0000e+00,1.2402e-06
7.05,0,0,0.0000e+00,0.0000e+00,7.0457e-07
7.15,0,0,0.0000e+00,0.0000e+00,3.0224e-07
7.25,0,0,0.0000e+00,0.0000e+00,-2.2290e-21
