MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.55,1.1012e-01,3.6483e-03
3.65,8.7838e-02,2.9101e-03
3.75,7.0064e-02,2.3212e-03
3.85,5.5887e-02,1.8515e-03
3.95,4.4578e-02,1.4769e-03
4.05,3.5557e-02,1.1780e-03
4.15,2.8362e-02,9.3963e-04
4.25,2.2622e-02,7.4948e-04
4.35,1.8044e-02,5.9780e-04
4.45,1.4392e-02,4.7681e-04
4.55,1.1479e-02,3.8030e-04
4.65,9.1555e-03,3.0332e-04
4.75,7.3021e-03,2.4192e-04
4.85,5.8236e-03,1.9294e-04
4.95,4.6444e-03,1.5387e-04
5.05,3.7037e-03,1.2270e-04
5.15,2.9533e-03,9.7844e-05
5.25,2.3548e-03,7.8015e-05
5.35,1.8774e-03,6.2199e-05
5.45,1.4966e-03,4.9582e-05
5.55,1.1928e-03,3.9518e-05
5.65,9.5052e-04,3.1491e-05
5.75,7.5724e-04,2.5087e-05
5.85,6.0307e-04,1.9980e-05
5.95,4.8009e-04,1.5906e-05
6.05,3.8200e-04,1.2656e-05
6.15,3.0376e-04,1.0063e-05
6.25,2.4134e-04,7.9957e-06
6.35,1.9156e-04,6.3463e-06
6.45,1.5185e-04,5.0307e-06
6.55,1.2017e-04,3.9812e-06
6.65,9.4902e-05,3.1441e-06
6.75,7.4747e-05,2.4764e-06
6.85,5.8671e-05,1.9438e-06
6.95,4.5847e-05,1.5189e-06
7.05,3.5618e-05,1.1800e-06
7.15,2.7458e-05,9.0969e-07
7.25,2.0950e-05,6.9407e-07
7.35,1.5758e-05,5.2207e-07
7.45,1.1617e-05,3.8487e-07
7.55,8.3138e-06,2.7544e-07
7.65,5.6789e-06,1.8814e-07
7.75,3.5772e-06,1.1851e-07
7.85,1.9007e-06,6.2971e-08
7.95,5.6346e-07,1.8667e-08
