MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
3.0500000000000003,11,100,3.3808e-01,2.9048e+00,1.5102e+00,7.4047e-02
3.1500000000000004,8,89,2.4588e-01,2.5667e+00,1.1949e+00,5.8587e-02
3.2500000000000004,13,81,3.9955e-01,2.3208e+00,9.4543e-01,4.6355e-02
3.3500000000000005,14,68,4.3028e-01,1.9213e+00,7.4804e-01,3.6677e-02
3.4500000000000006,12,54,3.6881e-01,1.4910e+00,5.9186e-01,2.9020e-02
3.5500000000000007,11,42,3.3808e-01,1.1222e+00,4.6829e-01,2.2961e-02
3.650000000000001,6,31,1.8441e-01,7.8411e-01,3.7052e-01,1.8167e-02
3.750000000000001,6,25,1.8441e-01,5.9970e-01,2.9315e-01,1.4374e-02
3.850000000000001,4,19,1.2294e-01,4.1530e-01,2.3194e-01,1.1373e-02
3.950000000000001,2,15,6.1469e-02,2.9236e-01,1.8351e-01,8.9979e-03
4.050000000000001,2,13,4.2073e-02,2.3089e-01,1.4519e-01,7.1190e-03
4.150000000000001,0,11,0.0000e+00,1.8882e-01,1.1487e-01,5.6324e-03
4.250000000000002,1,11,2.1036e-02,1.8882e-01,9.0885e-02,4.4562e-03
4.350000000000001,2,10,4.2073e-02,1.6778e-01,7.1904e-02,3.5255e-03
4.450000000000001,1,8,2.1036e-02,1.2571e-01,5.6886e-02,2.7892e-03
4.550000000000002,1,7,1.7380e-02,1.0467e-01,4.5003e-02,2.2065e-03
4.650000000000002,1,6,1.7380e-02,8.7293e-02,3.5601e-02,1.7455e-03
4.750000000000002,1,5,1.7380e-02,6.9912e-02,2.8161e-02,1.3808e-03
4.850000000000001,1,4,1.7380e-02,5.2532e-02,2.2275e-02,1.0922e-03
4.950000000000002,0,3,0.0000e+00,3.5152e-02,1.7618e-02,8.6384e-04
5.0500000000000025,0,3,0.0000e+00,3.5152e-02,1.3933e-02,6.8317e-04
5.150000000000002,1,3,1.7380e-02,3.5152e-02,1.1018e-02,5.4022e-04
5.250000000000002,0,2,0.0000e+00,1.7772e-02,8.7110e-03,4.2711e-04
5.350000000000002,0,2,0.0000e+00,1.7772e-02,6.8857e-03,3.3761e-04
5.450000000000003,0,2,0.0000e+00,1.7772e-02,5.4415e-03,2.6681e-04
5.5500000000000025,0,2,0.0000e+00,1.7772e-02,4.2989e-03,2.1078e-04
5.650000000000002,0,2,0.0000e+00,1.7772e-02,3.3948e-03,1.6645e-04
5.750000000000003,0,2,0.0000e+00,1.7772e-02,2.6794e-03,1.3137e-04
5.850000000000003,0,2,0.0000e+00,1.7772e-02,2.1134e-03,1.0362e-04
5.950000000000003,0,2,0.0000e+00,1.7772e-02,1.6656e-03,8.1664e-05
6.0500000000000025,0,2,0.0000e+00,1.7772e-02,1.3112e-03,6.4290e-05
6.150000000000003,2,2,1.7772e-02,1.7772e-02,1.0309e-03,5.0544e-05
6.2500000000000036,0,0,0.0000e+00,0.0000e+00,8.0902e-04,3.9667e-05
6.350000000000003,0,0,0.0000e+00,0.0000e+00,6.3350e-04,3.1061e-05
6.450000000000003,0,0,0.0000e+00,0.0000e+00,4.9463e-04,2.4252e-05
6.550000000000003,0,0,0.0000e+00,0.0000e+00,3.8475e-04,1.8865e-05
6.650000000000004,0,0,0.0000e+00,0.0000e+00,2.9781e-04,1.4602e-05
6.7500000000000036,0,0,0.0000e+00,0.0000e+00,2.2902e-04,1.1229e-05
6.850000000000003,0,0,0.0000e+00,0.0000e+00,1.7459e-04,8.5603e-06
6.950000000000004,0,0,0.0000e+00,0.0000e+00,1.3152e-04,6.4488e-06
7.050000000000004,0,0,0.0000e+00,0.0000e+00,9.7451e-05,4.7781e-06
7.150000000000004,0,0,0.0000e+00,0.0000e+00,7.0490e-05,3.4562e-06
7.2500000000000036,0,0,0.0000e+00,0.0000e+00,4.9159e-05,2.4103e-06
7.350000000000005,0,0,0.0000e+00,0.0000e+00,3.2281e-05,1.5828e-06
7.450000000000005,0,0,0.0000e+00,0.0000e+00,1.8927e-05,9.2799e-07
7.550000000000004,0,0,0.0000e+00,0.0000e+00,8.3603e-06,4.0992e-07
7.650000000000004,0,0,0.0000e+00,0.0000e+00,-6.3318e-20,-3.1045e-21
