MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,61,351,2.2115e+00,1.1595e+01,1.1595e+01
3.05,89,290,3.2266e+00,9.3833e+00,8.5679e+00
3.15,36,201,1.3051e+00,6.1567e+00,6.3312e+00
3.25,38,165,1.3776e+00,4.8515e+00,4.6784e+00
3.35,35,127,1.2689e+00,3.4739e+00,3.4571e+00
3.45,12,92,3.1929e-01,2.2050e+00,2.5546e+00
3.55,23,80,6.1197e-01,1.8857e+00,1.8877e+00
3.65,12,57,3.1929e-01,1.2737e+00,1.3949e+00
3.75,9,45,2.3947e-01,9.5446e-01,1.0308e+00
3.85,4,36,1.0643e-01,7.1499e-01,7.6168e-01
3.95,7,32,1.3312e-01,6.0856e-01,5.6283e-01
4.05,6,25,1.1410e-01,4.7544e-01,4.1590e-01
4.15,10,19,1.9017e-01,3.6133e-01,3.0732e-01
4.25,0,9,0.0000e+00,1.7116e-01,2.2709e-01
4.35,3,9,5.7052e-02,1.7116e-01,1.6781e-01
4.45,2,6,3.8035e-02,1.1410e-01,1.2400e-01
4.55,2,4,3.8035e-02,7.6070e-02,9.1622e-02
4.65,0,2,0.0000e+00,3.8035e-02,6.7700e-02
4.75,1,2,1.9017e-02,3.8035e-02,5.0023e-02
4.85,0,1,0.0000e+00,1.9017e-02,3.6961e-02
4.95,0,1,0.0000e+00,1.9017e-02,2.7308e-02
5.05,1,1,1.9017e-02,1.9017e-02,2.0176e-02
5.15,0,0,0.0000e+00,0.0000e+00,1.4905e-02
5.25,0,0,0.0000e+00,0.0000e+00,1.1010e-02
5.35,0,0,0.0000e+00,0.0000e+00,8.1323e-03
5.45,0,0,0.0000e+00,0.0000e+00,6.0057e-03
5.55,0,0,0.0000e+00,0.0000e+00,4.4342e-03
5.65,0,0,0.0000e+00,0.0000e+00,3.2729e-03
5.75,0,0,0.0000e+00,0.0000e+00,2.4148e-03
5.85,0,0,0.0000e+00,0.0000e+00,1.7807e-03
5.95,0,0,0.0000e+00,0.0000e+00,1.3121e-03
6.05,0,0,0.0000e+00,0.0000e+00,9.6590e-04
6.15,0,0,0.0000e+00,0.0000e+00,7.1005e-04
6.25,0,0,0.0000e+00,0.0000e+00,5.2098e-04
6.35,0,0,0.0000e+00,0.0000e+00,3.8127e-04
6.45,0,0,0.0000e+00,0.0000e+00,2.7804e-04
6.55,0,0,0.0000e+00,0.0000e+00,2.0175e-04
6.65,0,0,0.0000e+00,0.0000e+00,1.4538e-04
6.75,0,0,0.0000e+00,0.0000e+00,1.0373e-04
6.85,0,0,0.0000e+00,0.0000e+00,7.2945e-05
6.95,0,0,0.0000e+00,0.0000e+00,5.0199e-05
7.05,0,0,0.0000e+00,0.0000e+00,3.3391e-05
7.15,0,0,0.0000e+00,0.0000e+00,2.0971e-05
7.25,0,0,0.0000e+00,0.0000e+00,1.1793e-05
7.35,0,0,0.0000e+00,0.0000e+00,5.0114e-06
7.45,0,0,0.0000e+00,0.0000e+00,-3.7798e-20
