MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.95,0,20,0.0000e+00,2.4660e-01,3.1162e-01
6.05,1,20,2.9417e-02,2.4660e-01,2.4412e-01
6.15,1,19,2.9417e-02,2.1719e-01,1.9112e-01
6.25,4,18,4.2556e-02,1.8777e-01,1.4952e-01
6.35,2,14,2.1278e-02,1.4521e-01,1.1685e-01
6.45,3,12,3.1917e-02,1.2394e-01,9.1206e-02
6.55,2,9,2.1278e-02,9.2018e-02,7.1072e-02
6.65,2,7,2.1278e-02,7.0740e-02,5.5264e-02
6.75,2,5,2.1278e-02,4.9462e-02,4.2854e-02
6.85,0,3,0.0000e+00,2.8184e-02,3.3110e-02
6.95,0,3,0.0000e+00,2.8184e-02,2.5460e-02
7.05,0,3,0.0000e+00,2.8184e-02,1.9455e-02
7.15,1,3,1.0639e-02,2.8184e-02,1.4740e-02
7.25,0,2,0.0000e+00,1.7545e-02,1.1038e-02
7.35,0,2,0.0000e+00,1.7545e-02,8.1314e-03
7.45,0,2,0.0000e+00,1.7545e-02,5.8496e-03
7.55,1,2,8.7724e-03,1.7545e-02,4.0582e-03
7.65,1,1,8.7724e-03,8.7724e-03,2.6517e-03
7.75,0,0,0.0000e+00,0.0000e+00,1.5475e-03
7.85,0,0,0.0000e+00,0.0000e+00,6.8062e-04
7.95,0,0,0.0000e+00,0.0000e+00,6.8062e-04
