MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.95,3,22,8.8252e-02,3.6551e-01,3.6261e-01
6.05,0,19,0.0000e+00,2.7725e-01,2.8407e-01
6.15,4,19,1.1767e-01,2.7725e-01,2.2240e-01
6.25,7,15,7.4473e-02,1.5959e-01,1.7398e-01
6.35,3,8,3.1917e-02,8.5112e-02,1.3597e-01
6.45,1,5,1.0639e-02,5.3195e-02,1.0613e-01
6.55,0,4,0.0000e+00,4.2556e-02,8.2702e-02
6.65,0,4,0.0000e+00,4.2556e-02,6.4308e-02
6.75,1,4,1.0639e-02,4.2556e-02,4.9866e-02
6.85,0,3,0.0000e+00,3.1917e-02,3.8528e-02
6.95,1,3,1.0639e-02,3.1917e-02,2.9627e-02
7.05,0,2,0.0000e+00,2.1278e-02,2.2638e-02
7.15,1,2,1.0639e-02,2.1278e-02,1.7152e-02
7.25,1,1,1.0639e-02,1.0639e-02,1.2844e-02
7.35,0,0,0.0000e+00,0.0000e+00,9.4620e-03
7.45,0,0,0.0000e+00,0.0000e+00,6.8069e-03
7.55,0,0,0.0000e+00,0.0000e+00,4.7223e-03
7.65,0,0,0.0000e+00,0.0000e+00,3.0857e-03
7.75,0,0,0.0000e+00,0.0000e+00,1.8008e-03
7.85,0,0,0.0000e+00,0.0000e+00,7.9200e-04
7.95,0,0,0.0000e+00,0.0000e+00,7.9200e-04
