MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.45,0,20,0.0000e+00,4.4652e-01,5.5000e-01
5.55,1,20,4.1678e-02,4.4652e-01,4.4503e-01
5.65,1,19,4.1678e-02,4.0484e-01,3.6004e-01
5.75,0,18,0.0000e+00,3.6316e-01,2.9122e-01
5.85,2,18,8.3356e-02,3.6316e-01,2.3551e-01
5.95,0,16,0.0000e+00,2.7981e-01,1.9040e-01
6.05,0,16,0.0000e+00,2.7981e-01,1.5387e-01
6.15,3,16,1.2503e-01,2.7981e-01,1.2430e-01
6.25,1,13,1.1906e-02,1.5477e-01,1.0036e-01
6.35,1,12,1.1906e-02,1.4287e-01,8.0971e-02
6.45,1,11,1.1906e-02,1.3096e-01,6.5275e-02
6.55,3,10,3.5717e-02,1.1906e-01,5.2566e-02
6.65,0,7,0.0000e+00,8.3340e-02,4.2277e-02
6.75,2,7,2.3811e-02,8.3340e-02,3.3945e-02
6.85,1,5,1.1906e-02,5.9528e-02,2.7200e-02
6.95,0,4,0.0000e+00,4.7623e-02,2.1739e-02
7.05,1,4,1.1906e-02,4.7623e-02,1.7317e-02
7.15,2,3,2.3811e-02,3.5717e-02,1.3737e-02
7.25,1,1,1.1906e-02,1.1906e-02,1.0838e-02
7.35,0,0,0.0000e+00,0.0000e+00,8.4908e-03
7.45,0,0,0.0000e+00,0.0000e+00,6.5905e-03
7.55,0,0,0.0000e+00,0.0000e+00,5.0519e-03
7.65,0,0,0.0000e+00,0.0000e+00,3.8062e-03
7.75,0,0,0.0000e+00,0.0000e+00,2.7976e-03
7.85,0,0,0.0000e+00,0.0000e+00,1.9809e-03
7.95,0,0,0.0000e+00,0.0000e+00,1.3197e-03
8.05,0,0,0.0000e+00,0.0000e+00,7.8440e-04
8.15,0,0,0.0000e+00,0.0000e+00,3.5095e-04
8.25,0,0,0.0000e+00,0.0000e+00,3.5095e-04
