MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.45,0,3,0.0000e+00,7.0453e-02,2.9750e-01
5.55,0,3,0.0000e+00,7.0453e-02,2.3335e-01
5.65,0,3,0.0000e+00,7.0453e-02,1.8295e-01
5.75,0,3,0.0000e+00,7.0453e-02,1.4334e-01
5.85,0,3,0.0000e+00,7.0453e-02,1.1222e-01
5.95,0,3,0.0000e+00,7.0453e-02,8.7772e-02
6.05,1,3,4.1678e-02,7.0453e-02,6.8560e-02
6.15,0,2,0.0000e+00,2.8775e-02,5.3465e-02
6.25,1,2,2.0003e-02,2.8775e-02,4.1604e-02
6.35,0,1,0.0000e+00,8.7724e-03,3.2284e-02
6.45,0,1,0.0000e+00,8.7724e-03,2.4961e-02
6.55,0,1,0.0000e+00,8.7724e-03,1.9207e-02
6.65,0,1,0.0000e+00,8.7724e-03,1.4686e-02
6.75,0,1,0.0000e+00,8.7724e-03,1.1134e-02
6.85,0,1,0.0000e+00,8.7724e-03,8.3430e-03
6.95,0,1,0.0000e+00,8.7724e-03,6.1499e-03
7.05,0,1,0.0000e+00,8.7724e-03,4.4267e-03
7.15,0,1,0.0000e+00,8.7724e-03,3.0727e-03
7.25,0,1,0.0000e+00,8.7724e-03,2.0088e-03
7.35,0,1,0.0000e+00,8.7724e-03,1.1729e-03
7.45,0,1,0.0000e+00,8.7724e-03,5.1608e-04
7.55,1,1,8.7724e-03,8.7724e-03,5.1608e-04
