MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.05,18,63,4.7953e-01,1.6784e+00,1.6732e+00
3.15,7,45,1.8648e-01,1.1988e+00,1.3015e+00
3.25,4,38,1.0656e-01,1.0123e+00,1.0123e+00
3.35,11,34,2.9305e-01,9.0578e-01,7.8739e-01
3.45,5,23,1.3320e-01,6.1273e-01,6.1244e-01
3.55,2,18,5.3281e-02,4.7953e-01,4.7637e-01
3.65,2,16,5.3281e-02,4.2625e-01,3.7052e-01
3.75,4,14,1.0656e-01,3.7297e-01,2.8819e-01
3.85,1,10,2.6641e-02,2.6641e-01,2.2416e-01
3.95,4,9,1.0656e-01,2.3976e-01,1.7435e-01
4.05,0,5,0.0000e+00,1.3320e-01,1.3561e-01
4.15,3,5,7.9922e-02,1.3320e-01,1.0547e-01
4.25,1,2,2.6641e-02,5.3281e-02,8.2032e-02
4.35,0,1,0.0000e+00,2.6641e-02,6.3800e-02
4.45,0,1,0.0000e+00,2.6641e-02,4.9619e-02
4.55,0,1,0.0000e+00,2.6641e-02,3.8589e-02
4.65,0,1,0.0000e+00,2.6641e-02,3.0009e-02
4.75,0,1,0.0000e+00,2.6641e-02,2.3336e-02
4.85,0,1,0.0000e+00,2.6641e-02,1.8145e-02
4.95,0,1,0.0000e+00,2.6641e-02,1.4108e-02
5.05,1,1,2.6641e-02,2.6641e-02,1.0968e-02
5.15,0,0,0.0000e+00,0.0000e+00,8.5250e-03
5.25,0,0,0.0000e+00,0.0000e+00,6.6250e-03
5.35,0,0,0.0000e+00,0.0000e+00,5.1472e-03
5.45,0,0,0.0000e+00,0.0000e+00,3.9977e-03
5.55,0,0,0.0000e+00,0.0000e+00,3.1037e-03
5.65,0,0,0.0000e+00,0.0000e+00,2.4082e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.8673e-03
5.85,0,0,0.0000e+00,0.0000e+00,1.4465e-03
5.95,0,0,0.0000e+00,0.0000e+00,1.1193e-03
6.05,0,0,0.0000e+00,0.0000e+00,8.6472e-04
6.15,0,0,0.0000e+00,0.0000e+00,6.6672e-04
6.25,0,0,0.0000e+00,0.0000e+00,5.1272e-04
6.35,0,0,0.0000e+00,0.0000e+00,3.9293e-04
6.45,0,0,0.0000e+00,0.0000e+00,2.9975e-04
6.55,0,0,0.0000e+00,0.0000e+00,2.2728e-04
6.65,0,0,0.0000e+00,0.0000e+00,1.7091e-04
6.75,0,0,0.0000e+00,0.0000e+00,1.2706e-04
6.85,0,0,0.0000e+00,0.0000e+00,9.2956e-05
6.95,0,0,0.0000e+00,0.0000e+00,6.6429e-05
7.05,0,0,0.0000e+00,0.0000e+00,4.5795e-05
7.15,0,0,0.0000e+00,0.0000e+00,2.9746e-05
7.25,0,0,0.0000e+00,0.0000e+00,1.7262e-05
7.35,0,0,0.0000e+00,0.0000e+00,7.5525e-06
7.45,0,0,0.0000e+00,0.0000e+00,0.0000e+00
