MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.45,0,25,0.0000e+00,7.3849e-01,1.7188e+00
5.55,0,25,0.0000e+00,7.3849e-01,1.3500e+00
5.65,2,25,8.3356e-02,7.3849e-01,1.0602e+00
5.75,2,23,8.3356e-02,6.5514e-01,8.3247e-01
5.85,2,21,8.3356e-02,5.7178e-01,6.5355e-01
5.95,2,19,8.3356e-02,4.8843e-01,5.1297e-01
6.05,1,17,4.1678e-02,4.0507e-01,4.0251e-01
6.15,2,16,8.3356e-02,3.6339e-01,3.1572e-01
6.25,3,14,6.0008e-02,2.8004e-01,2.4752e-01
6.35,1,11,2.0003e-02,2.2003e-01,1.9394e-01
6.45,0,10,0.0000e+00,2.0003e-01,1.5183e-01
6.55,2,10,4.0005e-02,2.0003e-01,1.1875e-01
6.65,2,8,4.0005e-02,1.6002e-01,9.2760e-02
6.75,0,6,0.0000e+00,1.2002e-01,7.2336e-02
6.85,1,6,2.0003e-02,1.2002e-01,5.6289e-02
6.95,2,5,4.0005e-02,1.0001e-01,4.3679e-02
7.05,1,3,2.0003e-02,6.0008e-02,3.3772e-02
7.15,0,2,0.0000e+00,4.0005e-02,2.5987e-02
7.25,0,2,0.0000e+00,4.0005e-02,1.9870e-02
7.35,0,2,0.0000e+00,4.0005e-02,1.5064e-02
7.45,2,2,4.0005e-02,4.0005e-02,1.1288e-02
7.55,0,0,0.0000e+00,0.0000e+00,8.3206e-03
7.65,0,0,0.0000e+00,0.0000e+00,5.9891e-03
7.75,0,0,0.0000e+00,0.0000e+00,4.1572e-03
7.85,0,0,0.0000e+00,0.0000e+00,2.7179e-03
7.95,0,0,0.0000e+00,0.0000e+00,1.5869e-03
8.05,0,0,0.0000e+00,0.0000e+00,6.9824e-04
8.15,0,0,0.0000e+00,0.0000e+00,6.9824e-04
