MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.05,0,8,0.0000e+00,2.1312e-01,3.3889e-01
3.15,0,8,0.0000e+00,2.1312e-01,2.6874e-01
3.25,1,8,2.6641e-02,2.1312e-01,2.1312e-01
3.35,0,7,0.0000e+00,1.8648e-01,1.6900e-01
3.45,0,7,0.0000e+00,1.8648e-01,1.3402e-01
3.55,0,7,0.0000e+00,1.8648e-01,1.0628e-01
3.65,2,7,5.3281e-02,1.8648e-01,8.4279e-02
3.75,0,5,0.0000e+00,1.3320e-01,6.6833e-02
3.85,2,5,5.3281e-02,1.3320e-01,5.2998e-02
3.95,0,3,0.0000e+00,7.9922e-02,4.2026e-02
4.05,0,3,0.0000e+00,7.9922e-02,3.3326e-02
4.15,0,3,0.0000e+00,7.9922e-02,2.6426e-02
4.25,1,3,2.6641e-02,7.9922e-02,2.0955e-02
4.35,0,2,0.0000e+00,5.3281e-02,1.6616e-02
4.45,1,2,2.6641e-02,5.3281e-02,1.3175e-02
4.55,1,1,2.6641e-02,2.6641e-02,1.0446e-02
4.65,0,0,0.0000e+00,0.0000e+00,8.2825e-03
4.75,0,0,0.0000e+00,0.0000e+00,6.5665e-03
4.85,0,0,0.0000e+00,0.0000e+00,5.2057e-03
4.95,0,0,0.0000e+00,0.0000e+00,4.1266e-03
5.05,0,0,0.0000e+00,0.0000e+00,3.2708e-03
5.15,0,0,0.0000e+00,0.0000e+00,2.5922e-03
5.25,0,0,0.0000e+00,0.0000e+00,2.0540e-03
5.35,0,0,0.0000e+00,0.0000e+00,1.6272e-03
5.45,0,0,0.0000e+00,0.0000e+00,1.2888e-03
5.55,0,0,0.0000e+00,0.0000e+00,1.0204e-03
5.65,0,0,0.0000e+00,0.0000e+00,8.0755e-04
5.75,0,0,0.0000e+00,0.0000e+00,6.3877e-04
5.85,0,0,0.0000e+00,0.0000e+00,5.0492e-04
5.95,0,0,0.0000e+00,0.0000e+00,3.9877e-04
6.05,0,0,0.0000e+00,0.0000e+00,3.1460e-04
6.15,0,0,0.0000e+00,0.0000e+00,2.4785e-04
6.25,0,0,0.0000e+00,0.0000e+00,1.9492e-04
6.35,0,0,0.0000e+00,0.0000e+00,1.5294e-04
6.45,0,0,0.0000e+00,0.0000e+00,1.1965e-04
6.55,0,0,0.0000e+00,0.0000e+00,9.3251e-05
6.65,0,0,0.0000e+00,0.0000e+00,7.2317e-05
6.75,0,0,0.0000e+00,0.0000e+00,5.5716e-05
6.85,0,0,0.0000e+00,0.0000e+00,4.2550e-05
6.95,0,0,0.0000e+00,0.0000e+00,3.2110e-05
7.05,0,0,0.0000e+00,0.0000e+00,2.3831e-05
7.15,0,0,0.0000e+00,0.0000e+00,1.7265e-05
7.25,0,0,0.0000e+00,0.0000e+00,1.2059e-05
7.35,0,0,0.0000e+00,0.0000e+00,7.9299e-06
7.45,0,0,0.0000e+00,0.0000e+00,4.6557e-06
7.55,0,0,0.0000e+00,0.0000e+00,2.0591e-06
7.65,0,0,0.0000e+00,0.0000e+00,-1.5765e-20
