MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.45,0,5,0.0000e+00,1.5923e-01,2.3551e-01
5.55,0,5,0.0000e+00,1.5923e-01,1.9310e-01
5.65,1,5,4.0004e-02,1.5923e-01,1.5830e-01
5.75,1,4,4.0004e-02,1.1923e-01,1.2974e-01
5.85,1,3,4.0004e-02,7.9222e-02,1.0630e-01
5.95,0,2,0.0000e+00,3.9218e-02,8.7065e-02
6.05,0,2,0.0000e+00,3.9218e-02,7.1281e-02
6.15,0,2,0.0000e+00,3.9218e-02,5.8328e-02
6.25,0,2,0.0000e+00,3.9218e-02,4.7698e-02
6.35,0,2,0.0000e+00,3.9218e-02,3.8976e-02
6.45,0,2,0.0000e+00,3.9218e-02,3.1817e-02
6.55,0,2,0.0000e+00,3.9218e-02,2.5943e-02
6.65,0,2,0.0000e+00,3.9218e-02,2.1122e-02
6.75,0,2,0.0000e+00,3.9218e-02,1.7166e-02
6.85,0,2,0.0000e+00,3.9218e-02,1.3920e-02
6.95,0,2,0.0000e+00,3.9218e-02,1.1256e-02
7.05,1,2,1.9609e-02,3.9218e-02,9.0695e-03
7.15,0,1,0.0000e+00,1.9609e-02,7.2753e-03
7.25,0,1,0.0000e+00,1.9609e-02,5.8030e-03
7.35,0,1,0.0000e+00,1.9609e-02,4.5948e-03
7.45,1,1,1.9609e-02,1.9609e-02,3.6033e-03
7.55,0,0,0.0000e+00,0.0000e+00,2.7896e-03
7.65,0,0,0.0000e+00,0.0000e+00,2.1219e-03
7.75,0,0,0.0000e+00,0.0000e+00,1.5739e-03
7.85,0,0,0.0000e+00,0.0000e+00,1.1243e-03
7.95,0,0,0.0000e+00,0.0000e+00,7.5526e-04
8.05,0,0,0.0000e+00,0.0000e+00,4.5244e-04
8.15,0,0,0.0000e+00,0.0000e+00,2.0393e-04
8.25,0,0,0.0000e+00,0.0000e+00,2.0393e-04
