MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.45,0,14,0.0000e+00,4.0486e-01,7.8895e-01
5.55,1,14,4.1678e-02,4.0486e-01,6.0108e-01
5.65,3,13,1.2503e-01,3.6318e-01,4.5789e-01
5.75,1,10,4.1678e-02,2.3815e-01,3.4877e-01
5.85,1,9,4.1678e-02,1.9647e-01,2.6560e-01
5.95,0,8,0.0000e+00,1.5479e-01,2.0221e-01
6.05,1,8,4.1678e-02,1.5479e-01,1.5390e-01
6.15,1,7,4.1678e-02,1.1311e-01,1.1708e-01
6.25,2,6,2.3811e-02,7.1434e-02,8.9023e-02
6.35,0,4,0.0000e+00,4.7623e-02,6.7636e-02
6.45,0,4,0.0000e+00,4.7623e-02,5.1337e-02
6.55,1,4,1.1906e-02,4.7623e-02,3.8915e-02
6.65,1,3,1.1906e-02,3.5717e-02,2.9447e-02
6.75,1,2,1.1906e-02,2.3811e-02,2.2232e-02
6.85,0,1,0.0000e+00,1.1906e-02,1.6732e-02
6.95,0,1,0.0000e+00,1.1906e-02,1.2541e-02
7.05,0,1,0.0000e+00,1.1906e-02,9.3470e-03
7.15,1,1,1.1906e-02,1.1906e-02,6.9125e-03
7.25,0,0,0.0000e+00,0.0000e+00,5.0570e-03
7.35,0,0,0.0000e+00,0.0000e+00,3.6430e-03
7.45,0,0,0.0000e+00,0.0000e+00,2.5652e-03
7.55,0,0,0.0000e+00,0.0000e+00,1.7439e-03
7.65,0,0,0.0000e+00,0.0000e+00,1.1179e-03
7.75,0,0,0.0000e+00,0.0000e+00,6.4075e-04
7.85,0,0,0.0000e+00,0.0000e+00,2.7713e-04
7.95,0,0,0.0000e+00,0.0000e+00,2.7713e-04
