1964 04 24 0556 144.329 -5.100 108.0 6.80 MW bibliog
1964 09 12 1243 144.010 -4.459 108.8 6.64 MW 
1980 07 16 1956 143.526 -4.446 85.3 7.27 MW gcmt
1986 06 24 0311 143.982 -4.416 122.9 7.22 MW gcmt
1992 05 23 0020 141.801 -4.652 101.1 5.65 MW gcmt
1993 03 01 0139 138.550 -3.712 94.1 6.10 MW gcmt
1994 02 08 2156 140.577 -4.285 92.2 5.60 MW gcmt
1999 06 29 0550 147.944 -9.553 20.0 5.63 MW gcmt
2000 07 16 1138 139.042 -4.146 22.4 5.75 MW gcmt
2001 06 05 0900 146.462 -6.808 10.0 6.40 MW gcmt
2005 10 25 1940 146.077 -7.165 177.8 5.83 MW gcmt
2012 03 20 1756 140.279 -3.849 70.9 6.26 MW gcmt
2012 03 21 2215 146.011 -6.222 120.0 6.61 MW gcmt
2014 03 31 1341 147.039 -8.390 14.9 5.60 MW gcmt
