MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.45,0,11,0.0000e+00,3.0960e-01,6.9801e-01
5.55,1,11,4.1678e-02,3.0960e-01,5.3489e-01
5.65,1,10,4.1678e-02,2.6792e-01,4.0974e-01
5.75,0,9,0.0000e+00,2.2624e-01,3.1373e-01
5.85,1,9,4.1678e-02,2.2624e-01,2.4007e-01
5.95,1,8,4.1678e-02,1.8456e-01,1.8356e-01
6.05,1,7,4.1678e-02,1.4288e-01,1.4020e-01
6.15,1,6,4.1678e-02,1.0121e-01,1.0694e-01
6.25,2,5,2.3811e-02,5.9528e-02,8.1418e-02
6.35,1,3,1.1906e-02,3.5717e-02,6.1840e-02
6.45,0,2,0.0000e+00,2.3811e-02,4.6819e-02
6.55,2,2,2.3811e-02,2.3811e-02,3.5295e-02
6.65,0,0,0.0000e+00,0.0000e+00,2.6454e-02
6.75,0,0,0.0000e+00,0.0000e+00,1.9671e-02
6.85,0,0,0.0000e+00,0.0000e+00,1.4467e-02
6.95,0,0,0.0000e+00,0.0000e+00,1.0474e-02
7.05,0,0,0.0000e+00,0.0000e+00,7.4113e-03
7.15,0,0,0.0000e+00,0.0000e+00,5.0614e-03
7.25,0,0,0.0000e+00,0.0000e+00,3.2585e-03
7.35,0,0,0.0000e+00,0.0000e+00,1.8753e-03
7.45,0,0,0.0000e+00,0.0000e+00,8.1413e-04
7.55,0,0,0.0000e+00,0.0000e+00,8.1413e-04
