MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
3.45,0,2,0.0000e+00,5.3281e-02,6.2978e-02
3.55,1,2,2.6641e-02,5.3281e-02,5.3206e-02
3.65,0,1,0.0000e+00,2.6641e-02,4.4949e-02
3.75,0,1,0.0000e+00,2.6641e-02,3.7971e-02
3.85,0,1,0.0000e+00,2.6641e-02,3.2075e-02
3.95,0,1,0.0000e+00,2.6641e-02,2.7093e-02
4.05,0,1,0.0000e+00,2.6641e-02,2.2882e-02
4.15,0,1,0.0000e+00,2.6641e-02,1.9325e-02
4.25,0,1,0.0000e+00,2.6641e-02,1.6318e-02
4.35,0,1,0.0000e+00,2.6641e-02,1.3778e-02
4.45,1,1,2.6641e-02,2.6641e-02,1.1631e-02
4.55,0,0,0.0000e+00,0.0000e+00,9.8167e-03
4.65,0,0,0.0000e+00,0.0000e+00,8.2837e-03
4.75,0,0,0.0000e+00,0.0000e+00,6.9883e-03
4.85,0,0,0.0000e+00,0.0000e+00,5.8937e-03
4.95,0,0,0.0000e+00,0.0000e+00,4.9687e-03
5.05,0,0,0.0000e+00,0.0000e+00,4.1871e-03
5.15,0,0,0.0000e+00,0.0000e+00,3.5266e-03
5.25,0,0,0.0000e+00,0.0000e+00,2.9684e-03
5.35,0,0,0.0000e+00,0.0000e+00,2.4968e-03
5.45,0,0,0.0000e+00,0.0000e+00,2.0982e-03
5.55,0,0,0.0000e+00,0.0000e+00,1.7615e-03
5.65,0,0,0.0000e+00,0.0000e+00,1.4769e-03
5.75,0,0,0.0000e+00,0.0000e+00,1.2364e-03
5.85,0,0,0.0000e+00,0.0000e+00,1.0332e-03
5.95,0,0,0.0000e+00,0.0000e+00,8.6144e-04
6.05,0,0,0.0000e+00,0.0000e+00,7.1633e-04
6.15,0,0,0.0000e+00,0.0000e+00,5.9371e-04
6.25,0,0,0.0000e+00,0.0000e+00,4.9009e-04
6.35,0,0,0.0000e+00,0.0000e+00,4.0253e-04
6.45,0,0,0.0000e+00,0.0000e+00,3.2854e-04
6.55,0,0,0.0000e+00,0.0000e+00,2.6602e-04
6.65,0,0,0.0000e+00,0.0000e+00,2.1319e-04
6.75,0,0,0.0000e+00,0.0000e+00,1.6854e-04
6.85,0,0,0.0000e+00,0.0000e+00,1.3081e-04
6.95,0,0,0.0000e+00,0.0000e+00,9.8932e-05
7.05,0,0,0.0000e+00,0.0000e+00,7.1993e-05
7.15,0,0,0.0000e+00,0.0000e+00,4.9228e-05
7.25,0,0,0.0000e+00,0.0000e+00,2.9992e-05
7.35,0,0,0.0000e+00,0.0000e+00,1.3736e-05
7.45,0,0,0.0000e+00,0.0000e+00,-1.1642e-19
