MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT,MFD_FIT_AREA_NORM
5.75,1,6,2.5002e-02,1.3383e-01,1.1524e-01,1.1096e-02
5.85,0,5,0.0000e+00,1.0883e-01,9.3421e-02,8.9952e-03
5.95,0,5,0.0000e+00,1.0883e-01,7.5710e-02,7.2899e-03
6.05,1,5,2.5002e-02,1.0883e-01,6.1335e-02,5.9058e-03
6.15,1,4,2.5002e-02,8.3828e-02,4.9666e-02,4.7822e-03
6.25,1,3,1.9609e-02,5.8826e-02,4.0195e-02,3.8703e-03
6.35,0,2,0.0000e+00,3.9218e-02,3.2508e-02,3.1301e-03
6.45,0,2,0.0000e+00,3.9218e-02,2.6268e-02,2.5292e-03
6.55,2,2,3.9218e-02,3.9218e-02,2.1203e-02,2.0415e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.7091e-02,1.6457e-03
6.75,0,0,0.0000e+00,0.0000e+00,1.3755e-02,1.3244e-03
6.85,0,0,0.0000e+00,0.0000e+00,1.1046e-02,1.0636e-03
6.95,0,0,0.0000e+00,0.0000e+00,8.8474e-03,8.5189e-04
7.05,0,0,0.0000e+00,0.0000e+00,7.0629e-03,6.8007e-04
7.15,0,0,0.0000e+00,0.0000e+00,5.6144e-03,5.4060e-04
7.25,0,0,0.0000e+00,0.0000e+00,4.4387e-03,4.2739e-04
7.35,0,0,0.0000e+00,0.0000e+00,3.4844e-03,3.3550e-04
7.45,0,0,0.0000e+00,0.0000e+00,2.7098e-03,2.6092e-04
7.55,0,0,0.0000e+00,0.0000e+00,2.0810e-03,2.0038e-04
7.65,0,0,0.0000e+00,0.0000e+00,1.5707e-03,1.5124e-04
7.75,0,0,0.0000e+00,0.0000e+00,1.1564e-03,1.1135e-04
7.85,0,0,0.0000e+00,0.0000e+00,8.2020e-04,7.8975e-05
7.95,0,0,0.0000e+00,0.0000e+00,5.4728e-04,5.2697e-05
8.05,0,0,0.0000e+00,0.0000e+00,3.2576e-04,3.1366e-05
8.15,0,0,0.0000e+00,0.0000e+00,1.4595e-04,1.4053e-05
8.25,0,0,0.0000e+00,0.0000e+00,1.4595e-04,1.4053e-05
