MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,13,87,2.5225e-01,1.6655e+00,1.6655e+00
3.05,21,74,4.0748e-01,1.4132e+00,1.2511e+00
3.15,12,53,2.3284e-01,1.0058e+00,9.3985e-01
3.25,11,41,2.1344e-01,7.7293e-01,7.0602e-01
3.35,9,30,1.7463e-01,5.5949e-01,5.3037e-01
3.45,4,21,7.7614e-02,3.8485e-01,3.9842e-01
3.55,5,17,9.7018e-02,3.0724e-01,2.9929e-01
3.65,4,12,7.7614e-02,2.1022e-01,2.2483e-01
3.75,1,8,1.9404e-02,1.3261e-01,1.6889e-01
3.85,1,7,1.9404e-02,1.1320e-01,1.2687e-01
3.95,1,6,1.9404e-02,9.3800e-02,9.5307e-02
4.05,2,5,3.3038e-02,7.4396e-02,7.1594e-02
4.15,0,3,0.0000e+00,4.1358e-02,5.3781e-02
4.25,0,3,0.0000e+00,4.1358e-02,4.0400e-02
4.35,0,3,0.0000e+00,4.1358e-02,3.0347e-02
4.45,0,3,0.0000e+00,4.1358e-02,2.2796e-02
4.55,2,3,2.7572e-02,4.1358e-02,1.7124e-02
4.65,1,1,1.3786e-02,1.3786e-02,1.2862e-02
4.75,0,0,0.0000e+00,0.0000e+00,9.6612e-03
4.85,0,0,0.0000e+00,0.0000e+00,7.2565e-03
4.95,0,0,0.0000e+00,0.0000e+00,5.4501e-03
5.05,0,0,0.0000e+00,0.0000e+00,4.0931e-03
5.15,0,0,0.0000e+00,0.0000e+00,3.0737e-03
5.25,0,0,0.0000e+00,0.0000e+00,2.3079e-03
5.35,0,0,0.0000e+00,0.0000e+00,1.7327e-03
5.45,0,0,0.0000e+00,0.0000e+00,1.3005e-03
5.55,0,0,0.0000e+00,0.0000e+00,9.7590e-04
5.65,0,0,0.0000e+00,0.0000e+00,7.3204e-04
5.75,0,0,0.0000e+00,0.0000e+00,5.4885e-04
5.85,0,0,0.0000e+00,0.0000e+00,4.1124e-04
5.95,0,0,0.0000e+00,0.0000e+00,3.0786e-04
6.05,0,0,0.0000e+00,0.0000e+00,2.3021e-04
6.15,0,0,0.0000e+00,0.0000e+00,1.7187e-04
6.25,0,0,0.0000e+00,0.0000e+00,1.2805e-04
6.35,0,0,0.0000e+00,0.0000e+00,9.5126e-05
6.45,0,0,0.0000e+00,0.0000e+00,7.0396e-05
6.55,0,0,0.0000e+00,0.0000e+00,5.1819e-05
6.65,0,0,0.0000e+00,0.0000e+00,3.7864e-05
6.75,0,0,0.0000e+00,0.0000e+00,2.7380e-05
6.85,0,0,0.0000e+00,0.0000e+00,1.9505e-05
6.95,0,0,0.0000e+00,0.0000e+00,1.3589e-05
7.05,0,0,0.0000e+00,0.0000e+00,9.1454e-06
7.15,0,0,0.0000e+00,0.0000e+00,5.8070e-06
7.25,0,0,0.0000e+00,0.0000e+00,3.2991e-06
7.35,0,0,0.0000e+00,0.0000e+00,1.4152e-06
7.45,0,0,0.0000e+00,0.0000e+00,-1.0437e-20
