MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.75,2,12,5.0003e-02,2.6766e-01,2.6436e-01
5.85,1,10,2.5002e-02,2.1766e-01,2.1156e-01
5.95,0,9,0.0000e+00,1.9266e-01,1.6918e-01
6.05,2,9,5.0003e-02,1.9266e-01,1.3516e-01
6.15,1,7,2.5002e-02,1.4265e-01,1.0785e-01
6.25,2,6,3.9218e-02,1.1765e-01,8.5923e-02
6.35,1,4,1.9609e-02,7.8435e-02,6.8324e-02
6.45,1,3,1.9609e-02,5.8826e-02,5.4195e-02
6.55,1,2,1.9609e-02,3.9218e-02,4.2854e-02
6.65,0,1,0.0000e+00,1.9609e-02,3.3749e-02
6.75,0,1,0.0000e+00,1.9609e-02,2.6440e-02
6.85,1,1,1.9609e-02,1.9609e-02,2.0573e-02
6.95,0,0,0.0000e+00,0.0000e+00,1.5863e-02
7.05,0,0,0.0000e+00,0.0000e+00,1.2082e-02
7.15,0,0,0.0000e+00,0.0000e+00,9.0470e-03
7.25,0,0,0.0000e+00,0.0000e+00,6.6105e-03
7.35,0,0,0.0000e+00,0.0000e+00,4.6546e-03
7.45,0,0,0.0000e+00,0.0000e+00,3.0845e-03
7.55,0,0,0.0000e+00,0.0000e+00,1.8241e-03
7.65,0,0,0.0000e+00,0.0000e+00,8.1224e-04
7.75,0,0,0.0000e+00,0.0000e+00,8.1224e-04
