MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.75,1,2,2.5002e-02,4.4610e-02,4.4372e-02
5.85,0,1,0.0000e+00,1.9609e-02,3.5946e-02
5.95,0,1,0.0000e+00,1.9609e-02,2.9112e-02
6.05,0,1,0.0000e+00,1.9609e-02,2.3568e-02
6.15,0,1,0.0000e+00,1.9609e-02,1.9072e-02
6.25,0,1,0.0000e+00,1.9609e-02,1.5424e-02
6.35,0,1,0.0000e+00,1.9609e-02,1.2466e-02
6.45,1,1,1.9609e-02,1.9609e-02,1.0066e-02
6.55,0,0,0.0000e+00,0.0000e+00,8.1201e-03
6.65,0,0,0.0000e+00,0.0000e+00,6.5414e-03
6.75,0,0,0.0000e+00,0.0000e+00,5.2609e-03
6.85,0,0,0.0000e+00,0.0000e+00,4.2223e-03
6.95,0,0,0.0000e+00,0.0000e+00,3.3798e-03
7.05,0,0,0.0000e+00,0.0000e+00,2.6965e-03
7.15,0,0,0.0000e+00,0.0000e+00,2.1422e-03
7.25,0,0,0.0000e+00,0.0000e+00,1.6926e-03
7.35,0,0,0.0000e+00,0.0000e+00,1.3280e-03
7.45,0,0,0.0000e+00,0.0000e+00,1.0322e-03
7.55,0,0,0.0000e+00,0.0000e+00,7.9228e-04
7.65,0,0,0.0000e+00,0.0000e+00,5.9768e-04
7.75,0,0,0.0000e+00,0.0000e+00,4.3984e-04
7.85,0,0,0.0000e+00,0.0000e+00,3.1181e-04
7.95,0,0,0.0000e+00,0.0000e+00,2.0797e-04
8.05,0,0,0.0000e+00,0.0000e+00,1.2374e-04
8.15,0,0,0.0000e+00,0.0000e+00,5.5416e-05
8.25,0,0,0.0000e+00,0.0000e+00,5.5416e-05
