MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
5.75,1,2,2.5002e-02,4.7302e-02,4.7276e-02
5.85,0,1,0.0000e+00,3.8351e-02,3.8325e-02
5.95,0,1,0.0000e+00,3.1085e-02,3.1059e-02
6.05,1,1,2.5002e-02,2.5187e-02,2.5162e-02
6.15,0,0,0.0000e+00,2.0400e-02,2.0375e-02
6.25,0,0,0.0000e+00,1.6515e-02,1.6489e-02
6.35,0,0,0.0000e+00,1.3361e-02,1.3336e-02
6.45,0,0,0.0000e+00,1.0801e-02,1.0776e-02
6.55,0,0,0.0000e+00,8.7235e-03,8.6980e-03
6.65,0,0,0.0000e+00,7.0370e-03,7.0114e-03
6.75,0,0,0.0000e+00,5.6680e-03,5.6425e-03
6.85,0,0,0.0000e+00,4.5569e-03,4.5313e-03
6.95,0,0,0.0000e+00,3.6550e-03,3.6294e-03
7.05,0,0,0.0000e+00,2.9229e-03,2.8974e-03
7.15,0,0,0.0000e+00,2.3287e-03,2.3031e-03
7.25,0,0,0.0000e+00,1.8464e-03,1.8208e-03
7.35,0,0,0.0000e+00,1.4549e-03,1.4294e-03
7.45,0,0,0.0000e+00,1.1372e-03,1.1116e-03
7.55,0,0,0.0000e+00,8.7923e-04,8.5367e-04
7.65,0,0,0.0000e+00,6.6988e-04,6.4432e-04
7.75,0,0,0.0000e+00,4.9995e-04,4.7439e-04
7.85,0,0,0.0000e+00,3.6202e-04,3.3646e-04
7.95,0,0,0.0000e+00,2.5007e-04,2.2450e-04
8.05,0,0,0.0000e+00,1.5919e-04,1.3363e-04
8.15,0,0,0.0000e+00,8.5434e-05,5.9870e-05
8.25,0,0,0.0000e+00,2.5564e-05,5.9870e-05
